TF.ID,Target.ID,TF.alias,Target.alias,Activate/Repress,Reference,Note
AT1G62300,AT3G23430,WRKY6,PHO1,R,19934380,
AT1G62300,AT4G04450,WRKY6,WRKY42,R,"19934380, 15504732, 12000796",
AT1G62360,AT1G23380,BUM1,KNAT6,A,"14617069, 16798887",
AT1G62360,AT1G30040,BUM1,GA2OX2,A,18757555,
AT1G62360,AT1G30950,BUM1,UFO,A,"9671577, 12011335, 11842154",
AT1G62360,AT1G47990,BUM1,GA2OX4,A,18757555,
AT1G62360,AT1G65620,BUM1,AS2,R,"17768399, 14617069, 12586863, 17601823",
AT1G62360,AT1G75820,BUM1,CLV1,A,12011335,
AT1G62360,AT1G76420,BUM1,CUC3,R,"12837947, 16798887",
AT1G62360,AT2G27250,BUM1,CLV3,A,12068101,
AT1G62360,AT2G37630,BUM1,AS1,R,"11934861, 17768399, 11447101, 11283332, 15202996, 14617069, 12068116, 15316113, 17601823, 12045283",
AT1G62360,AT3G23630,BUM1,IPT7,A,"16139211, 16139212",
AT1G62360,AT3G48100,BUM1,ARR5,A,16139211,
AT1G62360,AT4G25420,BUM1,GA20OX1,R,"12372247, 12401187, 16213812, 19891706, 15208345",
AT1G62360,AT5G19040,BUM1,ATIPT5,A,16139211,
AT1G63650,AT1G01380,EGL3,ETC1,A,"19395683, 17885086, 18644155, 15542499",
AT1G63650,AT1G71030,EGL3,MYBL2,A,"19136646, 19401413",
AT1G63650,AT1G79840,EGL3,GL2,A,"19136646, 19401413, 17885086, 17644729, 14627722, 17461792, 15542499",
AT1G63650,AT2G23550,EGL3,MES6,A,"19136646, 19401413",
AT1G63650,AT2G23580,EGL3,ABE4,A,"19136646, 19401413",
AT1G63650,AT2G37260,EGL3,TTG2,A,17766401,
AT1G63650,AT2G46410,EGL3,CPC,A,"17376028, 17885086, 18644155, 14627722, 17027738, 15542499",
AT1G63650,AT4G01060,EGL3,ETC3,A,18644155,
AT1G63650,AT4G09820,EGL3,TT8,A,"16709193, 12917293, 18036197",
AT1G63650,AT4G22880,EGL3,LDOX,R,19621239,
AT1G63650,AT5G08640,EGL3,FLS1,R,19621239,
AT1G63650,AT5G13930,EGL3,TT4,R,19621239,
AT1G63650,AT5G53200,EGL3,TRY,A,"19395683, 17885086, 18644155, 17027738, 15967776, 15542499",
AT1G65620,AT1G23380,AS2,KNAT6,R,"14508003, 17601823",
AT1G65620,AT1G32240,AS2,KAN2,R,"17559509, 14508003",
AT1G65620,AT1G62360,AS2,BUM1,R,15208345,
AT1G65620,AT1G70510,AS2,KNAT2,R,"19088331, 15833920, 14871310, 19891706, 17259263, 14508003, 12586863, 17601823",
AT1G65620,AT2G26580,AS2,YAB5,R,17559509,
