1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02758	gadF	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02759	idlP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02760	ytiC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02761	ytiD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02864	csrB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02877	csrC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02895	tff	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02905	isrC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02919	sroA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02922	sroD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02929	ecnB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02945	sgrS	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03087	yahO	+	? 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03120	yajO	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03142	glsA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03143	ybaT	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03204	ybdK	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03263	ybgS	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03274	ybhN	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03275	clsB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03276	ybhP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03319	ybjP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03333	ftsK	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03338	ycaP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03367	csgI	+	W 
