protein1 protein2 homology experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
511145.b0023 511145.b0097 0 800 0 0 0 0 0 800
511145.b0023 511145.b1211 0 800 281 0 0 0 0 850
511145.b0023 511145.b1716 0 800 738 0 0 0 0 945
511145.b0023 511145.b3321 0 935 0 720 0 0 0 981
511145.b0023 511145.b3315 0 800 738 0 0 0 0 945
511145.b0023 511145.b3306 0 800 738 720 0 0 0 984
511145.b0023 511145.b3304 0 800 738 0 0 0 0 945
511145.b0023 511145.b2606 0 800 738 0 0 0 0 945
511145.b0023 511145.b3203 0 935 518 540 0 0 0 984
511145.b0023 511145.b3590 0 807 0 0 0 0 0 807
511145.b0023 511145.b3296 0 800 738 720 0 0 0 984
511145.b0023 511145.b3340 0 800 641 0 0 0 0 925
511145.b0023 511145.b3310 0 800 738 0 0 0 0 945
511145.b0023 511145.b1717 0 800 738 0 0 0 0 945
511145.b0023 511145.b3636 0 800 738 0 0 0 0 945
511145.b0023 511145.b3301 0 800 738 0 0 0 0 945
511145.b0023 511145.b1089 0 800 738 0 0 0 0 945
511145.b0023 511145.b3637 0 800 738 0 0 0 0 945
511145.b0023 511145.b2185 0 800 738 0 0 0 0 945
511145.b0023 511145.b3298 0 800 738 720 0 0 0 984
511145.b0023 511145.b3230 0 800 738 720 0 0 0 984
511145.b0023 511145.b0051 0 800 0 0 0 88 0 809
511145.b0023 511145.b0693 0 457 0 0 0 0 0 457
511145.b0023 511145.b2609 0 800 738 720 0 0 0 984
511145.b0023 511145.b2784 0 691 0 0 0 0 0 691
511145.b0023 511145.b3339 0 935 0 0 0 0 0 935
511145.b0023 511145.b3065 0 800 738 720 0 0 0 984
511145.b0023 511145.b3341 0 800 738 720 0 0 0 984
511145.b0023 511145.b1718 0 92 453 0 0 0 0 482
511145.b0023 511145.b3167 0 800 0 0 0 0 0 800
511145.b0023 511145.b4550 0 935 0 0 0 0 0 935
511145.b0023 511145.b0884 0 0 453 0 0 0 0 453
511145.b0023 511145.b3556 0 800 0 0 0 0 0 800
511145.b0023 511145.b2171 0 0 281 0 0 0 0 281
511145.b0023 511145.b3316 0 800 738 720 0 0 0 984
511145.b0023 511145.b3294 0 800 738 0 0 0 0 945
511145.b0023 511145.b4200 0 800 738 720 0 0 0 984
511145.b0023 511145.b3185 0 800 738 0 0 0 0 945
511145.b0023 511145.b4203 0 800 738 0 0 0 0 945
511145.b0023 511145.b3983 0 935 0 0 0 0 0 935
511145.b0023 511145.b2891 0 935 0 0 0 0 0 935
511145.b0023 511145.b0172 0 800 452 0 0 0 0 885
511145.b0023 511145.b3980 0 800 0 0 0 0 0 800
511145.b0023 511145.b3309 0 800 738 0 0 0 0 945
511145.b0023 511145.b0296 0 800 545 0 0 0 0 905
511145.b0023 511145.b3297 0 935 690 720 0 0 0 993
511145.b0023 511145.b3186 0 800 738 0 0 0 0 945
