tf_id	tf_uniprot_id	tf_name	target_id	target_uniprot_id	target_name	activate/repress	source
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC03408	P0AEA2	csgG	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC03409	P0AE98	csgF	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC03410	P0AE95	csgE	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC03411	P52106	csgD	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC03501	P77334	pdeR	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC03640	P63235	gadC	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00020	P08997	aceB	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00042	P00805	ansB	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00069	P0A6D3	aroA	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00091	P0AC38	aspA	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00103	P09053	avtA	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00127	P0A9H3	cadA	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00128	P0AAE8	cadB	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00249	P23827	eco	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00302	P04128	fimA	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00304	P31697	fimC	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00305	P30130	fimD	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00307	P08189	fimF	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00308	P08190	fimG	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00309	P08191	fimH	+	regulonDB
