"protein_1_locus","protein_1_name","protein_2_locus","protein_2_name"
"BSU_38280","EfeU","BSU_38270","EfeO"
"BSU_38260","EfeB","BSU_38280","EfeU"
"BSU_23220","ScpA","BSU_23210","ScpB"
"BSU_11500","Spx","BSU_01430","RpoA"
"BSU_23250","RibH","BSU_23270","RibE"
"BSU_30280","MelD","BSU_30290","MelC"
"BSU_30290","MelC","BSU_30270","MelE"
"BSU_30280","MelD","BSU_30270","MelE"
"BSU_08320","LnrM","BSU_08310","LnrL"
"BSU_08310","LnrL","BSU_08330","LnrN"
"BSU_08320","LnrM","BSU_08330","LnrN"
"BSU_07120","LplC","BSU_07110","LplB"
"BSU_07100","LplA","BSU_07110","LplB"
"BSU_07120","LplC","BSU_07100","LplA"
"BSU_06980","RhiF","BSU_06970","RhiL"
"BSU_06990","RhiG","BSU_06970","RhiL"
"BSU_06990","RhiG","BSU_06980","RhiF"
"BSU_31560","NupP","BSU_31550","NupO"
"BSU_31550","NupO","BSU_31570","NupQ"
"BSU_30135","YteP","BSU_30170","YtcP"
"BSU_31560","NupP","BSU_31570","NupQ"
"BSU_30160","YtcQ","BSU_30170","YtcP"
"BSU_30160","YtcQ","BSU_30135","YteP"
"BSU_16470","SigD","BSU_01070","RpoB"
"BSU_16470","SigD","BSU_01080","RpoC"
"BSU_40150","EpeA","BSU_40140","EpeB"
"BSU_40150","EpeA","BSU_40160","EpeP"
"BSU_40140","EpeB","BSU_40160","EpeP"
"BSU_17450","GlnR","BSU_17460","GlnA"
"BSU_35330","FliS","BSU_16390","FlhA"
"BSU_16390","FlhA","BSU_35360","Hag"
"BSU_35330","FliS","BSU_35360","Hag"
"BSU_16390","FlhA","BSU_35340","FliD"
"BSU_35320","FliT","BSU_16390","FlhA"
"BSU_35320","FliT","BSU_35340","FliD"
"BSU_01460","YbaE","BSU_01450","YbxA"
"BSU_01470","YbaF","BSU_01450","YbxA"
"BSU_01460","YbaE","BSU_01470","YbaF"
"BSU_34140","GanQ","BSU_34150","GanP"
"BSU_34150","GanP","BSU_34160","GanS"
"BSU_34140","GanQ","BSU_34160","GanS"
"BSU_36250","PtkA","BSU_01540","SalA"
"BSU_39500","YxeM","BSU_39480","YxeO"
"BSU_39500","YxeM","BSU_39490","YxeN"
"BSU_14730","YlaC","BSU_01070","RpoB"
"BSU_14730","YlaC","BSU_01080","RpoC"
"BSU_22550","QcrB","BSU_22560","QcrA"
"BSU_22560","QcrA","BSU_22540","QcrC"
"BSU_22550","QcrB","BSU_22540","QcrC"
"BSU_03600","TcyB","BSU_03590","TcyC"
"BSU_03610","TcyA","BSU_03590","TcyC"
"BSU_03610","TcyA","BSU_03600","TcyB"
"BSU_02990","OpuAB","BSU_02980","OpuAA"
"BSU_03000","OpuAC","BSU_02980","OpuAA"
"BSU_03000","OpuAC","BSU_02990","OpuAB"
"BSU_23970","ArtQ","BSU_23960","ArtR"
"BSU_23960","ArtR","BSU_23980","ArtP"
"BSU_23970","ArtQ","BSU_23980","ArtP"
"BSU_22800","SpoIVA","BSU_15810","SpoVM"
"BSU_28110","SpoVID","BSU_22800","SpoIVA"
"BSU_28110","SpoVID","BSU_15810","SpoVM"
"BSU_08830","SsuB","BSU_08850","SsuC"
"BSU_08830","SsuB","BSU_08840","SsuA"
"BSU_08850","SsuC","BSU_08840","SsuA"
"BSU_19360","OdhB","BSU_19370","OdhA"
"BSU_19370","OdhA","BSU_14610","PdhD"
"BSU_19360","OdhB","BSU_14610","PdhD"
"BSU_32750","MetN","BSU_32740","MetP"
"BSU_32730","MetQ","BSU_32750","MetN"
"BSU_32730","MetQ","BSU_32740","MetP"
"BSU_00830","CtsR","BSU_00840","McsA"
"BSU_29090","PolA","BSU_23870","PolY1"
"BSU_29090","PolA","BSU_00020","DnaN"
"BSU_00850","McsB","BSU_00840","McsA"
"BSU_27730","RuvB","BSU_22310","RecU"
"BSU_09520","SigM","BSU_09510","YhdL"
"BSU_09500","YhdK","BSU_09510","YhdL"
"BSU_06460","PurS","BSU_06470","PurQ"
"BSU_06460","PurS","BSU_06480","PurL"
"BSU_06480","PurL","BSU_06470","PurQ"
"BSU_39480","YxeO","BSU_39490","YxeN"
"BSU_14120","AbbA","BSU_00370","AbrB"
"BSU_00920","GltX","BSU_06680","GatA"
"BSU_tRNA_48","TrnS-Gln","BSU_06680","GatA"
"BSU_00920","GltX","BSU_06690","GatB"
"BSU_tRNA_48","TrnS-Gln","BSU_06690","GatB"
"BSU_00920","GltX","BSU_06670","GatC"
"BSU_06670","GatC","BSU_tRNA_48","TrnS-Gln"
"BSU_00920","GltX","BSU_tRNA_48","TrnS-Gln"
"BSU_15940","Smc","BSU_23210","ScpB"
"BSU_15290","FtsZ","BSU_15390","SepF"
"BSU_22480","MgsA","BSU_34740","Crh"
"BSU_16460","CheD","BSU_31260","McpB"
"BSU_05750","Fra","BSU_10130","HemH"
"BSU_14150","YkuN","BSU_32110","YumC"
"BSU_12430","RapA","BSU_37130","Spo0F"
"BSU_23450","SigF","BSU_01070","RpoB"
"BSU_01080","RpoC","BSU_23450","SigF"
"BSU_09520","SigM","BSU_01070","RpoB"
"BSU_09520","SigM","BSU_01080","RpoC"
"BSU_01730","SigW","BSU_01070","RpoB"
"BSU_01730","SigW","BSU_01080","RpoC"
"BSU_27120","SigV","BSU_01070","RpoB"
"BSU_01080","RpoC","BSU_27120","SigV"
