tf_id	target_id	tf_name	target_name	activate/repress	pubmed	source	tf_uniprot_id	target_uniprot_id
AT1G21970	AT3G26790	LEC1	FUS3	A	17522888;18287041;16731585;18024558;18203869;15695450;18476867	atrm	Q9SFD8	Q9LW31
AT1G21970	AT3G51810	LEC1	EM1	R	10948227	atrm	Q9SFD8	Q07187
AT1G21970	AT3G54320	LEC1	WRI1	A	19490642;18689444;18476867	atrm	Q9SFD8	Q6X5Y6
AT1G21970	AT4G27160	LEC1	AT2S3	A	18689444	atrm	Q9SFD8	P15459
AT1G21970	AT5G66400	LEC1	AT5G66400	A	12529517	atrm	Q9SFD8	P30185
AT1G22070	AT2G14610	TGA3	PR1	A	16824183;12897257;10659709;17369431;11489188	atrm	Q39234	P33154
AT1G23420	AT1G23420	INO	INO	A	15131247;10601041;12183380;14731261;15299139	atrm	Q9LDT3	Q9LDT3
AT1G23420	AT4G27330	INO	SPL	A	10976054	atrm	Q9LDT3	O81836
AT1G23420	AT4G37750	INO	ANT	A	15131247	atrm	Q9LDT3	Q38914
AT1G24260	AT1G69120	SEP3	AP1	R	16854969	atrm	O22456	P35631
AT1G24260	AT2G17950	SEP3	WUS	R	19138429	atrm	O22456	Q9SB92
AT1G24260	AT2G22540	SEP3	SVP	R	18694458;16679456	atrm	O22456	Q9FVC1
AT1G24260	AT3G54340	SEP3	AP3	A	16098111	atrm	O22456	P35632
AT1G24260	AT4G18960	SEP3	AG	A	16098111	atrm	O22456	P17839
AT1G24260	AT4G24540	SEP3	AGL24	R	18694458;16679456	atrm	O22456	O82794
AT1G24590	AT3G15170	DRNL	CUC1	A	18665917;17056621	atrm	Q9FYK5	Q9FRV4
AT1G25560	AT1G65480	TEM1	FT	R	19695946	atrm	Q9C6M5	Q9SXZ2
AT1G26310	AT1G69120	CAL	AP1	A	7627548;18694458	atrm	Q39081	P35631
AT1G26310	AT5G03840	CAL	TFL1	R	10648231;10021331;15037730	atrm	Q39081	P93003
AT1G26310	AT5G61850	CAL	LFY	A	10648231;18784751;19482969;18694458;19482972;14736918	atrm	Q39081	Q00958
AT1G26870	AT1G79580	FEZ	SMB	A	19081078	atrm	Q9ZVH0	Q9MA17
AT1G26945	AT1G02340	KDR	HFR1	R	20009022;16786307	atrm	Q8GW32	Q9FE22
AT1G27730	AT1G07890	STZ	APX1	A	17112521	atrm	Q96289	Q05431
AT1G27730	AT1G17420	STZ	LOX3	R	20140232	atrm	Q96289	Q9LNR3
AT1G27730	AT1G19180	STZ	JAZ1	R	20140232	atrm	Q96289	Q9LMA8
AT1G27730	AT3G09640	STZ	APX2	A	17112521;19170934;18156220	atrm	Q96289	Q1PER6
AT1G27730	AT4G25100	STZ	FSD1	A	17112521	atrm	Q96289	P21276
AT1G27730	AT5G52310	STZ	LTI78	R	12032082	atrm	Q96289	Q06738
AT1G28300	AT1G04250	LEC2	AXR3	A	18287041	atrm	Q1PFR7	P93830
AT1G28300	AT1G80340	LEC2	GA3OX2	R	18305206;15516508	atrm	Q1PFR7	Q9ZT84
AT1G28300	AT2G22810	LEC2	ACS4	A	18287041	atrm	Q1PFR7	Q43309
AT1G28300	AT2G36270	LEC2	ABI5	R	17522888	atrm	Q1PFR7	Q9SJN0
AT1G28300	AT3G24650	LEC2	ABI3	A	17208960;17522888;16731585;18476867	atrm	Q1PFR7	Q01593
AT1G28300	AT3G26790	LEC2	FUS3	A	17522888;16731585;14597573;18422904;18476867	atrm	Q1PFR7	Q9LW31
AT1G28300	AT3G54320	LEC2	WRI1	A	17419836;18689444	atrm	Q1PFR7	Q6X5Y6
AT1G28300	AT3G62100	LEC2	IAA30	A	16492731	atrm	Q1PFR7	Q9M1R4
AT1G28300	AT4G13260	LEC2	YUC2	A	18287041	atrm	Q1PFR7	Q9SVQ1
AT1G28300	AT4G14560	LEC2	IAA1	A	18287041	atrm	Q1PFR7	P49677
AT1G28300	AT4G27160	LEC2	AT2S3	A	16492731;14597573;15695463	atrm	Q1PFR7	P15459
AT1G28300	AT5G11320	LEC2	YUC4	A	18287041	atrm	Q1PFR7	Q9LFM5
AT1G28300	AT5G13790	LEC2	AGL15	A	16492731;18305206	atrm	Q1PFR7	Q38847
AT1G28300	AT5G65165	LEC2	SDH2-3	A	19261733	atrm	Q1PFR7	Q9FJP9
AT1G30210	AT2G31270	TCP24	CDT1A	R	18818695	atrm	Q9C758	Q9SJW9
AT1G30210	AT3G54710	TCP24	CDT1B	R	18818695	atrm	Q9C758	Q9M1S9
AT1G30330	AT2G44810	ARF6	DAD1	A	20007966	atrm	Q9ZTX8	Q948R1
AT1G30490	AT2G17950	PHV	WUS	R	17898423	atrm	O04292	Q9SB92
AT1G30490	AT5G16560	PHV	KAN	R	11525739;12045283	atrm	O04292	Q93WJ9
AT1G32330	AT2G26150	HSFA1D	HSFA2	A	21471117	atrm	Q9LQM7	O80982
AT1G32540	AT1G08830	LOL1	CSD1	R	15980203	atrm	Q93ZB1	P24704
AT1G32640	AT1G17420	MYC2	LOX3	A	20140232;15208388	atrm	Q39204	Q9LNR3
AT1G32640	AT1G18570	MYC2	MYB51	R	17616737;20348432	atrm	Q39204	O49782
