protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name
BSU_00830	BSU_05650	experimental	string-db	CtsR	CtsR	YdgH	YdgH
BSU_00830	BSU_08670	experimental	string-db	CtsR	CtsR	YgaB	YgaB
BSU_00830	BSU_31970	experimental	string-db	CtsR	CtsR	DhbB	DhbB
BSU_00830	BSU_11550	experimental	string-db	CtsR	CtsR	SpxH	YjbH
BSU_00830	BSU_11550	experimental	string-db	CtsR	CtsR	SpxH	YjbH
BSU_00830	BSU_28710	experimental	string-db	CtsR	CtsR	CstA	CstA
BSU_00840	BSU_35370	textmined	string-db	McsA	McsA	CsrA	CsrA
BSU_00850	BSU_28200	textmined	string-db	McsB	McsB	LonA	LonA
BSU_00850	BSU_28220	textmined	string-db	McsB	McsB	ClpX	ClpX
BSU_00850	BSU_00860	experimental	string-db	McsB	McsB	ClpC	ClpC
BSU_00850	BSU_37240	textmined	string-db	McsB	McsB	YwiE	YwiE
BSU_00850	BSU_11550	textmined	string-db	McsB	McsB	SpxH	YjbH
BSU_00850	BSU_11550	textmined	string-db	McsB	McsB	SpxH	YjbH
BSU_00860	BSU_10420	experimental	string-db	ClpC	ClpC	ComK	ComK
BSU_00860	BSU_11520	experimental	string-db	ClpC	ClpC	MecA	MecA
BSU_00860	BSU_29740	experimental	string-db	ClpC	ClpC	CcpA	CcpA
BSU_00860	BSU_28220	textmined	string-db	ClpC	ClpC	ClpX	ClpX
BSU_00860	BSU_34540	experimental	string-db	ClpC	ClpC	ClpP	ClpP
BSU_00860	BSU_00850	experimental	string-db	ClpC	ClpC	McsB	McsB
BSU_00860	BSU_13700	textmined	string-db	ClpC	ClpC	ClpE	ClpE
BSU_00860	BSU_16150	textmined	string-db	ClpC	ClpC	ClpQ	ClpQ
BSU_00880	BSU_25130	textmined	string-db	DisA	DisA	Nfo	Nfo
BSU_00890	BSU_39940	experimental	string-db	YacL	YacL	YxaL	YxaL
BSU_00920	BSU_29740	experimental	string-db	GltX	GltX	CcpA	CcpA
BSU_00930	BSU_00730	textmined	string-db	CysE	CysE	CysK	CysK
BSU_00940	BSU_29740	experimental	string-db	CysS	CysS	CcpA	CcpA
BSU_00950	BSU_28860	experimental	string-db	MrnC	MrnC	RpmI	RpmI
BSU_00950	BSU_01320	experimental	string-db	MrnC	MrnC	RplR	RplR
BSU_00950	BSU_01230	experimental	string-db	MrnC	MrnC	RplP	RplP
BSU_00950	BSU_24900	experimental	string-db	MrnC	MrnC	RpmGA	RpmGA
BSU_00950	BSU_01240	experimental	string-db	MrnC	MrnC	RpmC	RpmC
BSU_00950	BSU_15820	experimental	string-db	MrnC	MrnC	RpmB	RpmB
BSU_00950	BSU_01280	experimental	string-db	MrnC	MrnC	RplE	RplE
BSU_00950	BSU_16040	experimental	string-db	MrnC	MrnC	RplS	RplS
BSU_00950	BSU_01400	experimental	string-db	MrnC	MrnC	RpmJ	RpmJ
BSU_00950	BSU_01340	experimental	string-db	MrnC	MrnC	RpmD	RpmD
BSU_00950	BSU_27940	experimental	string-db	MrnC	MrnC	RpmA	RpmA
BSU_00950	BSU_01170	experimental	string-db	MrnC	MrnC	RplD	RplD
BSU_00950	BSU_01190	experimental	string-db	MrnC	MrnC	RplB	RplB
BSU_00950	BSU_01040	experimental	string-db	MrnC	MrnC	RplJ	RplJ
BSU_00950	BSU_01180	experimental	string-db	MrnC	MrnC	RplW	RplW
BSU_00950	BSU_01440	experimental	string-db	MrnC	MrnC	RplQ	RplQ
BSU_00950	BSU_01210	experimental	string-db	MrnC	MrnC	RplV	RplV
BSU_00950	BSU_01160	experimental	string-db	MrnC	MrnC	RplC	RplC
BSU_00950	BSU_28850	experimental	string-db	MrnC	MrnC	RplT	RplT
BSU_00950	BSU_41060	experimental	string-db	MrnC	MrnC	RpmH	RpmH
BSU_00950	BSU_15080	experimental	string-db	MrnC	MrnC	RpmF	RpmF
BSU_00950	BSU_01350	experimental	string-db	MrnC	MrnC	RplO	RplO
BSU_00950	BSU_01270	experimental	string-db	MrnC	MrnC	RplX	RplX
BSU_00950	BSU_01260	experimental	string-db	MrnC	MrnC	RplN	RplNA
BSU_00950	BSU_01260	experimental	string-db	MrnC	MrnC	RplN	RplNA
BSU_00950	BSU_01490	experimental	string-db	MrnC	MrnC	RplM	RplM
BSU_00950	BSU_01310	experimental	string-db	MrnC	MrnC	RplF	RplF
BSU_00950	BSU_27960	experimental	string-db	MrnC	MrnC	RplU	RplU
BSU_00990	BSU_24900	database	string-db	RpmGB	RpmGB	RpmGA	RpmGA
BSU_01000	BSU_23890	database	string-db	SecE	SecE	OxaAB	OxaAB
BSU_01000	BSU_35300	database	string-db	SecE	SecE	SecA	SecA
BSU_01000	BSU_27700	database	string-db	SecE	SecE	YrbF	YrbF
BSU_01000	BSU_15950	database	string-db	SecE	SecE	FtsY	FtsY
BSU_01000	BSU_15980	database	string-db	SecE	SecE	Ffh	Ffh
BSU_01000	BSU_01360	database	string-db	SecE	SecE	SecY	SecY
BSU_01000	BSU_41040	database	string-db	SecE	SecE	YidC1	OxaAA
BSU_01000	BSU_41040	database	string-db	SecE	SecE	YidC1	OxaAA
BSU_01000	BSU_33630	database	string-db	SecE	SecE	SecG	SecG
BSU_01000	BSU_27650	database	string-db	SecE	SecE	SecDF	SecDF
BSU_01010	BSU_37100	textmined	string-db	NusG	NusG	MurAB	MurAB
BSU_01010	BSU_36760	textmined	string-db	NusG	NusG	MurAA	MurAA
BSU_01010	BSU_14670	textmined	string-db	NusG	NusG	SuhB	SuhB
