regulator_locus	regulator_name	mode	gene_locus	gene_name	link	source
BSU_25200	sigA	sigma factor	BSU_35450	comFC	224308.BSU25200/224308.BSU35450	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35470	comFA	224308.BSU25200/224308.BSU35470	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35380	fliW	224308.BSU25200/224308.BSU35380	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35420	flgN	224308.BSU25200/224308.BSU35420	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35410	flgK	224308.BSU25200/224308.BSU35410	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35400	flgL	224308.BSU25200/224308.BSU35400	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35370	csrA	224308.BSU25200/224308.BSU35370	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35460	comFB	224308.BSU25200/224308.BSU35460	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35390	yviE	224308.BSU25200/224308.BSU35390	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35430	flgM	224308.BSU25200/224308.BSU35430	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35440	yvyF	224308.BSU16470/224308.BSU35440	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35450	comFC	224308.BSU16470/224308.BSU35450	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35470	comFA	224308.BSU16470/224308.BSU35470	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35380	fliW	224308.BSU16470/224308.BSU35380	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35420	flgN	224308.BSU16470/224308.BSU35420	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35410	flgK	224308.BSU16470/224308.BSU35410	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35400	flgL	224308.BSU16470/224308.BSU35400	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35370	csrA	224308.BSU16470/224308.BSU35370	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35460	comFB	224308.BSU16470/224308.BSU35460	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35390	yviE	224308.BSU16470/224308.BSU35390	subtiwiki
BSU_16470	sigD	sigma factor	BSU_35430	flgM	224308.BSU16470/224308.BSU35430	subtiwiki
BSU_35490	degU	activation	BSU_35440	yvyF	224308.BSU35490/224308.BSU35440	subtiwiki
BSU_35490	degU	activation	BSU_35450	comFC	224308.BSU35490/224308.BSU35450	subtiwiki
BSU_35490	degU	activation	BSU_35470	comFA	224308.BSU35490/224308.BSU35470	subtiwiki
BSU_35490	degU	activation	BSU_35380	fliW	224308.BSU35490/224308.BSU35380	subtiwiki
BSU_35490	degU	activation	BSU_35420	flgN	224308.BSU35490/224308.BSU35420	subtiwiki
BSU_35490	degU	activation	BSU_35410	flgK	224308.BSU35490/224308.BSU35410	subtiwiki
BSU_35490	degU	activation	BSU_35400	flgL	224308.BSU35490/224308.BSU35400	subtiwiki
BSU_35490	degU	activation	BSU_35370	csrA	224308.BSU35490/224308.BSU35370	subtiwiki
BSU_35490	degU	activation	BSU_35460	comFB	224308.BSU35490/224308.BSU35460	subtiwiki
BSU_35490	degU	activation	BSU_35390	yviE	224308.BSU35490/224308.BSU35390	subtiwiki
BSU_35490	degU	activation	BSU_35430	flgM	224308.BSU35490/224308.BSU35430	subtiwiki
BSU_09990	scoC	repression	BSU_35440	yvyF	224308.BSU09990/224308.BSU35440	subtiwiki
BSU_09990	scoC	repression	BSU_35450	comFC	224308.BSU09990/224308.BSU35450	subtiwiki
BSU_09990	scoC	repression	BSU_35470	comFA	224308.BSU09990/224308.BSU35470	subtiwiki
BSU_09990	scoC	repression	BSU_35380	fliW	224308.BSU09990/224308.BSU35380	subtiwiki
BSU_09990	scoC	repression	BSU_35420	flgN	224308.BSU09990/224308.BSU35420	subtiwiki
BSU_09990	scoC	repression	BSU_35410	flgK	224308.BSU09990/224308.BSU35410	subtiwiki
BSU_09990	scoC	repression	BSU_35400	flgL	224308.BSU09990/224308.BSU35400	subtiwiki
BSU_09990	scoC	repression	BSU_35370	csrA	224308.BSU09990/224308.BSU35370	subtiwiki
