Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
sc	FBgn0004170	sens	FBgn0002573	suppressible	FBrf0129996	flybase
Gbp1	FBgn0034199	Gbp2	FBgn0034200	enhanceable	FBrf0231170	flybase
Chi	FBgn0013764	tup	FBgn0003896	enhanceable	FBrf0190092	flybase
Lsd-2	FBgn0030608	HDAC6	FBgn0026428	suppressible	FBrf0236910	flybase
upd1	FBgn0004956	dind	FBgn0286828	suppressible	FBrf0252589	flybase
Pc	FBgn0003042	mor	FBgn0002783	suppressible	FBrf0094223	flybase
Pp2B-14D	FBgn0011826	CE3-3	FBgn0063643	enhanceable	FBrf0149012	flybase
lz	FBgn0002576	e(w<up>e</up>)	FBgn0000608	suppressible	FBrf0048208	flybase
pnt	FBgn0003118	Jra	FBgn0001291	suppressible	FBrf0204109	flybase
Eogt	FBgn0264672	N	FBgn0004647	suppressible	FBrf0221543	flybase
Dcr-2	FBgn0034246	N	FBgn0004647	suppressible	FBrf0221543	flybase
park	FBgn0041100	Marf	FBgn0029870	suppressible	FBrf0223874	flybase
N	FBgn0004647	E(spl)m8-HLH::E(spl)mδ-HLH	FBgn0040399	enhanceable	FBrf0111441	flybase
dlg1	FBgn0001624	Myd88	FBgn0033402	enhanceable	FBrf0224358	flybase
dsh	FBgn0000499	Rho1	FBgn0014020	suppressible	FBrf0103240	flybase
fru	FBgn0004652	ap	FBgn0267978	enhanceable	FBrf0213400	flybase
dpp	FBgn0000490	hep	FBgn0010303	enhanceable	FBrf0108559	flybase
Pc	FBgn0003042	e(y)3	FBgn0087008	suppressible	FBrf0205136	flybase
Pc	FBgn0003042	Bap170	FBgn0042085	suppressible	FBrf0205136	flybase
B-H1	FBgn0011758	aop	FBgn0000097	enhanceable	FBrf0104448	flybase
jub	FBgn0030530	shg	FBgn0003391	enhanceable	FBrf0240259	flybase
bw	FBgn0000241	His3.3B	FBgn0004828	suppressible	FBrf0211786	flybase
Delta	FBgn0000463	emc	FBgn0000575	suppressible	FBrf0055045	flybase
Ser	FBgn0004197	N	FBgn0004647	suppressible	FBrf0128542	flybase
Ras85D	FBgn0003205	Rho1	FBgn0014020	suppressible	FBrf0211181	flybase
Yif1	FBgn0288631	N	FBgn0004647	suppressible	FBrf0251682	flybase
Pc	FBgn0003042	lolal	FBgn0022238	suppressible	FBrf0155961	flybase
Tm1	FBgn0003721	E(To)12	FBgn0046123	suppressible	FBrf0137253	flybase
Vap33	FBgn0029687	mTor	FBgn0021796	suppressible	FBrf0226712	flybase
Hsc70-5	FBgn0001220	Atg1	FBgn0260945	enhanceable	FBrf0251563	flybase
ath	FBgn0032194	p53	FBgn0039044	suppressible	FBrf0253197	flybase
Ret	FBgn0011829	l(3)S090114	FBgn0084421	enhanceable	FBrf0190765	flybase
klar	FBgn0001316	Msp300	FBgn0261836	enhanceable	FBrf0210479	flybase
N	FBgn0004647	ct	FBgn0004198	suppressible	FBrf0220848	flybase
elav	FBgn0260400	robo1	FBgn0005631	suppressible	FBrf0193348	flybase
wg	FBgn0284084	fz3	FBgn0027343	suppressible	FBrf0111481	flybase
msi	FBgn0011666	ttk	FBgn0003870	suppressible	FBrf0111386	flybase
l(2)gd1	FBgn0261983	N	FBgn0004647	enhanceable	FBrf0158846	flybase
ed	FBgn0000547	sav	FBgn0053193	suppressible	FBrf0217474	flybase
park	FBgn0041100	TER94	FBgn0286784	enhanceable	FBrf0221255	flybase
pbl	FBgn0003041	aurA	FBgn0000147	suppressible	FBrf0199094	flybase
ct	FBgn0004198	Nipped-A	FBgn0053554	enhanceable	FBrf0109032	flybase
N	FBgn0004647	lark	FBgn0011640	enhanceable	FBrf0202064	flybase
N	FBgn0004647	pk	FBgn0003090	suppressible	FBrf0106363	flybase
Atg1	FBgn0260945	bs	FBgn0004101	suppressible	FBrf0203068	flybase
dup	FBgn0000996	lok	FBgn0019686	suppressible	FBrf0206322	flybase
N	FBgn0004647	krz	FBgn0040206	enhanceable	FBrf0213301	flybase
Snr1	FBgn0011715	NO66	FBgn0266570	suppressible	FBrf0212876	flybase
sli	FBgn0264089	Abl	FBgn0000017	enhanceable	FBrf0221894	flybase
Psn	FBgn0284421	Ras85D	FBgn0003205	enhanceable	FBrf0190744	flybase
L	FBgn0288433	pan	FBgn0085432	suppressible	FBrf0192707	flybase
Bx	FBgn0265598	CG14204	FBgn0031032	enhanceable	FBrf0211594	flybase
SREBP	FBgn0261283	Pdha1	FBgn0028325	suppressible	FBrf0237138	flybase
CYLD	FBgn0032210	bsk	FBgn0000229	suppressible	FBrf0200559	flybase
YME1L	FBgn0034792	Sod2	FBgn0010213	suppressible	FBrf0230561	flybase
spn-B	FBgn0003480	Hus1-like	FBgn0026417	suppressible	FBrf0193459	flybase
park	FBgn0041100	mask	FBgn0043884	suppressible	FBrf0228337	flybase
Mer	FBgn0086384	E(Mer)IIIa	FBgn0044874	enhanceable	FBrf0136951	flybase
Pc	FBgn0003042	Hsc70-4	FBgn0266599	enhanceable	FBrf0135926	flybase
HDAC6	FBgn0026428	Lsd-2	FBgn0030608	suppressible	FBrf0236910	flybase
upd1	FBgn0004956	spri	FBgn0085443	enhanceable	FBrf0190752	flybase
fra	FBgn0011592	mys	FBgn0004657	enhanceable	FBrf0220366	flybase
ct	FBgn0004198	Su(z)2	FBgn0265623	enhanceable	FBrf0090696	flybase
dlg1	FBgn0001624	Rel	FBgn0014018	enhanceable	FBrf0243114	flybase
Aplip1	FBgn0040281	futsch	FBgn0259108	suppressible	FBrf0222265	flybase
sgg	FBgn0003371	glob1	FBgn0027657	suppressible	FBrf0248905	flybase
Ras85D	FBgn0003205	Taf4	FBgn0010280	suppressible	FBrf0125429	flybase
Ret	FBgn0011829	Src42A	FBgn0264959	suppressible	FBrf0190765	flybase
dlp	FBgn0041604	wg	FBgn0284084	suppressible	FBrf0131247	flybase
CycE	FBgn0010382	S(CycE<up>JP</up>)2.7	FBgn0082631	suppressible	FBrf0180291	flybase
LamC	FBgn0010397	AMPKα	FBgn0023169	suppressible	FBrf0241206	flybase
Vrp1	FBgn0243516	WASp	FBgn0024273	suppressible	FBrf0201865	flybase
rst	FBgn0003285	Delta	FBgn0000463	enhanceable	FBrf0130106	flybase
spn-B	FBgn0003480	eIF1A	FBgn0026250	suppressible	FBrf0226455	flybase
Pi3K92E	FBgn0015279	RIOK2	FBgn0039306	suppressible	FBrf0220985	flybase
btl::Egfr	FBgn0022739	RIOK2	FBgn0039306	suppressible	FBrf0220985	flybase
Hsc70-5	FBgn0001220	Buffy	FBgn0040491	suppressible	FBrf0251563	flybase
Wnk	FBgn0037098	axed	FBgn0035708	suppressible	FBrf0251271	flybase
arm	FBgn0000117	mam	FBgn0002643	enhanceable	FBrf0202064	flybase
peb	FBgn0003053	Nse1	FBgn0031848	suppressible	FBrf0180294	flybase
sev	FBgn0003366	Egfr	FBgn0003731	suppressible	FBrf0128139	flybase
ed	FBgn0000547	Delta	FBgn0000463	enhanceable	FBrf0167515	flybase
unc-104	FBgn0267002	AP-2α	FBgn0264855	enhanceable	FBrf0240010	flybase
scrib	FBgn0263289	cno	FBgn0259212	enhanceable	FBrf0236136	flybase
fra	FBgn0011592	mud	FBgn0002873	enhanceable	FBrf0231294	flybase
btl	FBgn0285896	Tao	FBgn0031030	suppressible	FBrf0187664	flybase
stumps	FBgn0020299	Tao	FBgn0031030	suppressible	FBrf0187664	flybase
osk	FBgn0003015	aub	FBgn0000146	suppressible	FBrf0138362	flybase
Ubx	FBgn0003944	z	FBgn0004050	enhanceable	FBrf0063642	flybase
b	FBgn0000153	su(b)	FBgn0003546	suppressible	FBrf0044054	flybase
Atg16	FBgn0039705	sli	FBgn0264089	suppressible	FBrf0237070	flybase
Dref	FBgn0015664	Dll	FBgn0000157	enhanceable	FBrf0139759	flybase
ZnT86D	FBgn0037875	Catsup	FBgn0002022	enhanceable	FBrf0227521	flybase
TBPH	FBgn0025790	Diap1	FBgn0260635	suppressible	FBrf0220703	flybase
pbl	FBgn0003041	dia	FBgn0011202	enhanceable	FBrf0199094	flybase
Col4a1	FBgn0000299	vkg	FBgn0016075	suppressible	FBrf0217234	flybase
Abd-B	FBgn0000015	corto	FBgn0010313	enhanceable	FBrf0205871	flybase
N	FBgn0004647	numb	FBgn0002973	suppressible	FBrf0160590	flybase
aPKC	FBgn0261854	numb	FBgn0002973	suppressible	FBrf0218950	flybase
Pi3K92E	FBgn0015279	ebi	FBgn0263933	enhanceable	FBrf0216882	flybase
sesB	FBgn0003360	Atpα	FBgn0002921	suppressible	FBrf0179487	flybase
Mhc	FBgn0264695	Vinc	FBgn0004397	suppressible	FBrf0228767	flybase
vkg	FBgn0016075	Col4a1	FBgn0000299	suppressible	FBrf0217234	flybase
dx	FBgn0000524	klu	FBgn0013469	enhanceable	FBrf0202064	flybase
peb	FBgn0003053	CycE	FBgn0010382	suppressible	FBrf0180294	flybase
slim	FBgn0261477	Ask1	FBgn0014006	enhanceable	FBrf0220253	flybase
Xbp1	FBgn0021872	cnc	FBgn0262975	suppressible	FBrf0226085	flybase
TM4SF	FBgn0020372	cher	FBgn0014141	enhanceable	FBrf0252327	flybase
hng1	FBgn0034599	tsh	FBgn0003866	suppressible	FBrf0224045	flybase
trx	FBgn0003862	Kdm5	FBgn0031759	enhanceable	FBrf0129826	flybase
brm	FBgn0000212	Kdm5	FBgn0031759	enhanceable	FBrf0129826	flybase
Egfr	FBgn0003731	cora	FBgn0010434	suppressible	FBrf0105869	flybase
su(Hw)	FBgn0003567	esc	FBgn0000588	enhanceable	FBrf0135809	flybase
w	FBgn0003996	esc	FBgn0000588	enhanceable	FBrf0135809	flybase
ct	FBgn0004198	Sph35	FBgn0032213	enhanceable	FBrf0187644	flybase
N	FBgn0004647	E(spl)m8-HLH	FBgn0000591	enhanceable	FBrf0065591	flybase
Patronin	FBgn0263197	spas	FBgn0039141	suppressible	FBrf0247729	flybase
N	FBgn0004647	SERCA	FBgn0263006	enhanceable	FBrf0112004	flybase
yki	FBgn0034970	Atg1	FBgn0260945	suppressible	FBrf0246931	flybase
dod	FBgn0015379	Su(var)205	FBgn0003607	suppressible	FBrf0251321	flybase
mod(mdg4)	FBgn0002781	Cp190	FBgn0000283	enhanceable	FBrf0222817	flybase
