Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
brat	FBgn0010300	pros	FBgn0004595	suppressible	FBrf0194745	flybase
rho	FBgn0004635	CycG	FBgn0039858	enhanceable	FBrf0231264	flybase
tkv	FBgn0003716	Lpt	FBgn0263667	enhanceable	FBrf0222012	flybase
mam	FBgn0002643	fz2	FBgn0016797	enhanceable	FBrf0111904	flybase
Ser	FBgn0004197	ebi	FBgn0263933	enhanceable	FBrf0151813	flybase
Pld	FBgn0286511	AP-2α	FBgn0264855	enhanceable	FBrf0247514	flybase
lola	FBgn0283521	Ide	FBgn0001247	enhanceable	FBrf0241681	flybase
psq	FBgn0263102	Ide	FBgn0001247	enhanceable	FBrf0241681	flybase
Delta	FBgn0000463	Ide	FBgn0001247	enhanceable	FBrf0241681	flybase
Gαq	FBgn0004435	fra	FBgn0011592	suppressible	FBrf0149078	flybase
Tg	FBgn0031975	Pink1	FBgn0029891	enhanceable	FBrf0227806	flybase
brat	FBgn0010300	CkIα	FBgn0015024	enhanceable	FBrf0223614	flybase
pnr	FBgn0003117	ckd	FBgn0035427	suppressible	FBrf0147055	flybase
Sxl	FBgn0264270	cav	FBgn0026257	suppressible	FBrf0213989	flybase
Su(var)205	FBgn0003607	cav	FBgn0026257	suppressible	FBrf0213989	flybase
slbo	FBgn0005638	mbc	FBgn0015513	suppressible	FBrf0139607	flybase
Vap33	FBgn0029687	Tsc1	FBgn0026317	suppressible	FBrf0226712	flybase
enc	FBgn0004875	CycE	FBgn0010382	suppressible	FBrf0167518	flybase
dpp	FBgn0000490	hh	FBgn0004644	suppressible	FBrf0102736	flybase
sv	FBgn0005561	Poxn	FBgn0003130	enhanceable	FBrf0138373	flybase
crol	FBgn0020309	E2f1	FBgn0011766	suppressible	FBrf0207008	flybase
N	FBgn0004647	RpL15	FBgn0028697	enhanceable	FBrf0187658	flybase
stan	FBgn0024836	fred	FBgn0051774	enhanceable	FBrf0208836	flybase
arm	FBgn0000117	spen	FBgn0016977	suppressible	FBrf0215879	flybase
tkv	FBgn0003716	brm	FBgn0000212	suppressible	FBrf0174517	flybase
Antp	FBgn0260642	skd	FBgn0003415	suppressible	FBrf0066905	flybase
dac	FBgn0005677	ey	FBgn0005558	enhanceable	FBrf0128567	flybase
Dscam1	FBgn0033159	Strip	FBgn0035437	suppressible	FBrf0230433	flybase
cic	FBgn0262582	Stat92E	FBgn0016917	suppressible	FBrf0193272	flybase
tor	FBgn0003733	Stat92E	FBgn0016917	suppressible	FBrf0193272	flybase
trk	FBgn0003751	Stat92E	FBgn0016917	suppressible	FBrf0193272	flybase
Abi	FBgn0020510	SCAR	FBgn0041781	enhanceable	FBrf0234657	flybase
Vha55	FBgn0005671	N	FBgn0004647	suppressible	FBrf0210791	flybase
upd1	FBgn0004956	hh	FBgn0004644	suppressible	FBrf0167623	flybase
Ace	FBgn0000024	Pka-R1	FBgn0259243	suppressible	FBrf0162205	flybase
Pld	FBgn0286511	laza	FBgn0037163	suppressible	FBrf0234086	flybase
ago	FBgn0041171	Vhl	FBgn0041174	suppressible	FBrf0221195	flybase
Brd	FBgn0000216	N	FBgn0004647	enhanceable	FBrf0088401	flybase
gro	FBgn0001139	btl::Egfr	FBgn0022739	suppressible	FBrf0184190	flybase
svp	FBgn0003651	csw	FBgn0000382	suppressible	FBrf0076133	flybase
stumps	FBgn0020299	tor	FBgn0003733	suppressible	FBrf0105337	flybase
Egfr	FBgn0003731	Sulf1	FBgn0040271	suppressible	FBrf0219175	flybase
lz	FBgn0002576	amos	FBgn0003270	suppressible	FBrf0126762	flybase
kay	FBgn0001297	Rho1	FBgn0014020	suppressible	FBrf0252327	flybase
Wnt5	FBgn0010194	Drl-2	FBgn0033791	enhanceable	FBrf0228474	flybase
Ir56b	FBgn0034456	Ir25a	FBgn0031634	suppressible	FBrf0253240	flybase
Pp1-87B	FBgn0004103	flw	FBgn0000711	suppressible	FBrf0202083	flybase
lncRNA:roX1	FBgn0019661	lncRNA:roX1::Dpse\roX1	FBgn0262784	suppressible	FBrf0206905	flybase
esg	FBgn0287768	sc	FBgn0004170	suppressible	FBrf0235373	flybase
dally	FBgn0263930	dlp	FBgn0041604	enhanceable	FBrf0258700	flybase
egr	FBgn0033483	Tak1	FBgn0026323	suppressible	FBrf0148977	flybase
Delta	FBgn0000463	uif	FBgn0031879	enhanceable	FBrf0218242	flybase
Dhpr	FBgn0035964	Opa1	FBgn0261276	enhanceable	FBrf0243587	flybase
fz	FBgn0001085	Gαo	FBgn0001122	enhanceable	FBrf0183772	flybase
Pka-C1	FBgn0000273	Pcb	FBgn0027580	suppressible	FBrf0226947	flybase
Pten	FBgn0026379	DJ-1α	FBgn0033885	enhanceable	FBrf0183770	flybase
Fs(2)Ket	FBgn0262743	Kap-α1	FBgn0024889	enhanceable	FBrf0217601	flybase
Rok	FBgn0026181	dia	FBgn0011202	enhanceable	FBrf0208183	flybase
lola	FBgn0283521	Rap1	FBgn0004636	enhanceable	FBrf0241681	flybase
psq	FBgn0263102	Rap1	FBgn0004636	enhanceable	FBrf0241681	flybase
Delta	FBgn0000463	Rap1	FBgn0004636	enhanceable	FBrf0241681	flybase
sl	FBgn0003416	rho	FBgn0004635	enhanceable	FBrf0216849	flybase
Pink1	FBgn0029891	Drp1	FBgn0026479	suppressible	FBrf0213707	flybase
Vap33	FBgn0029687	Tsc1	FBgn0026317	suppressible	FBrf0226712	flybase
Vap33	FBgn0029687	gig	FBgn0005198	suppressible	FBrf0226712	flybase
Pi3K92E	FBgn0015279	Cds	FBgn0010350	suppressible	FBrf0224323	flybase
Apc2	FBgn0026598	ApepP	FBgn0026150	enhanceable	FBrf0232899	flybase
Csk	FBgn0262081	shg	FBgn0003391	suppressible	FBrf0190225	flybase
bw	FBgn0000241	Samuel	FBgn0032330	enhanceable	FBrf0211786	flybase
Sema1a	FBgn0011259	dally	FBgn0263930	enhanceable	FBrf0219528	flybase
Myc	FBgn0262656	Ilp5	FBgn0044048	suppressible	FBrf0221712	flybase
cas	FBgn0004878	Dcr-2	FBgn0034246	enhanceable	FBrf0200691	flybase
frac	FBgn0035798	beat-Ia	FBgn0013433	suppressible	FBrf0213409	flybase
dlg1	FBgn0001624	Syx18	FBgn0039212	suppressible	FBrf0195390	flybase
Khc	FBgn0001308	DCTN1-p150	FBgn0001108	enhanceable	FBrf0112115	flybase
gcm	FBgn0014179	pim	FBgn0003087	suppressible	FBrf0220515	flybase
galla-1	FBgn0034543	galla-2	FBgn0036107	enhanceable	FBrf0228544	flybase
Slik	FBgn0035001	Moe	FBgn0011661	suppressible	FBrf0179743	flybase
sli	FBgn0264089	kra	FBgn0250753	enhanceable	FBrf0202566	flybase
shot	FBgn0013733	kra	FBgn0250753	enhanceable	FBrf0202566	flybase
cni	FBgn0000339	grk::cni	FBgn0086244	suppressible	FBrf0190275	flybase
rpr	FBgn0011706	Dcp-1	FBgn0010501	enhanceable	FBrf0123261	flybase
slbo	FBgn0005638	trbl	FBgn0028978	suppressible	FBrf0220729	flybase
egr	FBgn0033483	Akt	FBgn0010379	enhanceable	FBrf0212255	flybase
egr	FBgn0033483	POSH	FBgn0040294	enhanceable	FBrf0212255	flybase
β3GalTII	FBgn0033315	Hs3st-B	FBgn0031005	enhanceable	FBrf0204719	flybase
Raf	FBgn0003079	Raf::tor	FBgn0013724	suppressible	FBrf0105972	flybase
peb	FBgn0003053	dpp	FBgn0000490	enhanceable	FBrf0137201	flybase
KLHL18	FBgn0037978	CG10324	FBgn0038454	enhanceable	FBrf0208555	flybase
Egfr	FBgn0003731	Su(tor)2-3	FBgn0014052	suppressible	FBrf0058535	flybase
Bdbt	FBgn0038857	dco	FBgn0002413	suppressible	FBrf0223409	flybase
N	FBgn0004647	Caf1-105	FBgn0033526	enhanceable	FBrf0222414	flybase
Arr2	FBgn0000121	CDase	FBgn0039774	suppressible	FBrf0157218	flybase
para	FBgn0285944	CaMKII	FBgn0264607	enhanceable	FBrf0151370	flybase
yki	FBgn0034970	mir-ban	FBgn0262451	suppressible	FBrf0194704	flybase
mys	FBgn0004657	Lasp	FBgn0063485	enhanceable	FBrf0207050	flybase
Neto	FBgn0265416	mtg	FBgn0260386	enhanceable	FBrf0239467	flybase
Egfr	FBgn0003731	Diap1	FBgn0260635	suppressible	FBrf0218898	flybase
trc	FBgn0003744	Fancm	FBgn0038889	enhanceable	FBrf0256007	flybase
Pp2B-14D	FBgn0011826	sra	FBgn0086370	enhanceable	FBrf0211392	flybase
Smox	FBgn0025800	CG18473	FBgn0037683	suppressible	FBrf0235445	flybase
Past1	FBgn0016693	Amph	FBgn0027356	suppressible	FBrf0229631	flybase
Cdc42	FBgn0010341	Ip6k	FBgn0034644	suppressible	FBrf0187664	flybase
pbl	FBgn0003041	htl	FBgn0010389	suppressible	FBrf0179437	flybase
Pisd	FBgn0026576	ninaE	FBgn0002940	suppressible	FBrf0211516	flybase
arm	FBgn0000117	rept	FBgn0040075	enhanceable	FBrf0132031	flybase
brm	FBgn0000212	bnl	FBgn0014135	suppressible	FBrf0241270	flybase
Raf	FBgn0003079	aop	FBgn0000097	suppressible	FBrf0131405	flybase
Opa1	FBgn0261276	Chchd2	FBgn0260747	enhanceable	FBrf0245721	flybase
Nadk1a	FBgn0033853	G6pd	FBgn0004057	suppressible	FBrf0252285	flybase
arm	FBgn0000117	Psn	FBgn0284421	suppressible	FBrf0129777	flybase
tkv	FBgn0003716	kek5	FBgn0031016	suppressible	FBrf0207272	flybase
Tctp	FBgn0037874	S6k	FBgn0283472	enhanceable	FBrf0192022	flybase
Su(var)205	FBgn0003607	egg	FBgn0086908	suppressible	FBrf0208607	flybase
Su(var)3-3	FBgn0260397	piwi	FBgn0004872	suppressible	FBrf0244925	flybase
Polr2A	FBgn0003277	msl-2	FBgn0005616	suppressible	FBrf0187980	flybase
Polr2A	FBgn0003277	msl-1	FBgn0005617	suppressible	FBrf0187980	flybase
lncRNA:roX1	FBgn0019661	msl-2	FBgn0005616	suppressible	FBrf0187980	flybase
lncRNA:roX1	FBgn0019661	msl-1	FBgn0005617	suppressible	FBrf0187980	flybase
ey	FBgn0005558	Opt	FBgn0003006	enhanceable	FBrf0026168	flybase
ct	FBgn0004198	otu	FBgn0003023	enhanceable	FBrf0111392	flybase
Cul5	FBgn0288875	wg	FBgn0284084	suppressible	FBrf0183913	flybase
Fa2h	FBgn0050502	TrpA1	FBgn0035934	suppressible	FBrf0259008	flybase
mira	FBgn0021776	Su(Mir)1-1A2-2	FBgn0264287	suppressible	FBrf0214626	flybase
jar	FBgn0011225	slbo	FBgn0005638	suppressible	FBrf0151440	flybase
Egfr	FBgn0003731	Stat92E	FBgn0016917	suppressible	FBrf0218898	flybase
Socs36E	FBgn0041184	Stat92E	FBgn0016917	suppressible	FBrf0218898	flybase
slmb	FBgn0283468	aPKC	FBgn0261854	suppressible	FBrf0225703	flybase
CG3632	FBgn0030735	tkv	FBgn0003716	enhanceable	FBrf0220364	flybase
fz	FBgn0001085	tow	FBgn0035719	enhanceable	FBrf0202398	flybase
mew	FBgn0004456	sli	FBgn0264089	enhanceable	FBrf0149077	flybase
Vang	FBgn0015838	scrib	FBgn0263289	enhanceable	FBrf0208559	flybase
btl	FBgn0285896	Eip78C	FBgn0004865	enhanceable	FBrf0187664	flybase
stumps	FBgn0020299	Eip78C	FBgn0004865	enhanceable	FBrf0187664	flybase
Debcl	FBgn0029131	Buffy	FBgn0040491	suppressible	FBrf0160857	flybase
okr	FBgn0002989	mei-41	FBgn0004367	suppressible	FBrf0111879	flybase
Pc	FBgn0003042	mxc	FBgn0260789	enhanceable	FBrf0086384	flybase
ksr::tor	FBgn0019804	MESR3	FBgn0032694	enhanceable	FBrf0131317	flybase
Ubx	FBgn0003944	tkv	FBgn0003716	suppressible	FBrf0195181	flybase
Acn	FBgn0263198	Atg7	FBgn0034366	suppressible	FBrf0226558	flybase
Kr	FBgn0001325	crol	FBgn0020309	enhanceable	FBrf0129693	flybase
mod(mdg4)	FBgn0002781	Su(mg)2-7	FBgn0023152	suppressible	FBrf0099893	flybase
park	FBgn0041100	Nmdmc	FBgn0010222	enhanceable	FBrf0235083	flybase
BicD	FBgn0000183	EndoA	FBgn0038659	suppressible	FBrf0210180	flybase
ct	FBgn0004198	mam	FBgn0002643	enhanceable	FBrf0090702	flybase
twi	FBgn0003900	Mef2	FBgn0011656	enhanceable	FBrf0190139	flybase
twi	FBgn0003900	br	FBgn0283451	enhanceable	FBrf0190139	flybase
park	FBgn0041100	Pgam5	FBgn0023517	suppressible	FBrf0212500	flybase
pbl	FBgn0003041	His2Av	FBgn0001197	enhanceable	FBrf0199094	flybase
twf	FBgn0038206	tsr	FBgn0011726	enhanceable	FBrf0141598	flybase
ph-p	FBgn0004861	daw	FBgn0031461	enhanceable	FBrf0137022	flybase
fz	FBgn0001085	drl	FBgn0015380	enhanceable	FBrf0201960	flybase
btl::Egfr	FBgn0022739	bol	FBgn0011206	enhanceable	FBrf0187664	flybase
Uba1	FBgn0023143	N	FBgn0004647	suppressible	FBrf0201340	flybase
yki	FBgn0034970	JMJD5	FBgn0035166	suppressible	FBrf0236101	flybase
gig	FBgn0005198	Rbf	FBgn0015799	enhanceable	FBrf0211700	flybase
Itpr	FBgn0010051	bsk	FBgn0000229	suppressible	FBrf0221428	flybase
Rac1	FBgn0010333	ck	FBgn0000317	enhanceable	FBrf0155719	flybase
bw	FBgn0000241	Mettl3	FBgn0039139	suppressible	FBrf0211786	flybase
dome	FBgn0043903	hop	FBgn0004864	suppressible	FBrf0144881	flybase
hep	FBgn0010303	Cka	FBgn0044323	suppressible	FBrf0145123	flybase
Mmp2	FBgn0033438	arm	FBgn0000117	suppressible	FBrf0226404	flybase
Mical	FBgn0053208	SelR	FBgn0267376	enhanceable	FBrf0223990	flybase
Haspin	FBgn0046706	vtd	FBgn0260987	enhanceable	FBrf0246423	flybase
Pc	FBgn0003042	vtd	FBgn0260987	enhanceable	FBrf0246423	flybase
pb	FBgn0051481	dachs	FBgn0262029	enhanceable	unattributed	flybase
dlp	FBgn0041604	Wnt2	FBgn0004360	suppressible	FBrf0245938	flybase
Dg	FBgn0034072	l(2)k09848	FBgn0284246	enhanceable	FBrf0214383	flybase
per	FBgn0003068	cry	FBgn0025680	suppressible	FBrf0191431	flybase
Dys	FBgn0260003	robo2	FBgn0002543	suppressible	FBrf0205440	flybase
YME1L	FBgn0034792	Diap1	FBgn0260635	suppressible	FBrf0230561	flybase
Ssdp	FBgn0011481	Sams	FBgn0005278	enhanceable	FBrf0211594	flybase
rpr	FBgn0011706	mir-ban	FBgn0262451	suppressible	FBrf0158764	flybase
sax	FBgn0003317	nej	FBgn0261617	suppressible	FBrf0108296	flybase
kibra	FBgn0262127	Mer	FBgn0086384	suppressible	FBrf0211094	flybase
fzr	FBgn0262699	didum	FBgn0261397	suppressible	FBrf0237532	flybase
gro	FBgn0001139	wg	FBgn0284084	enhanceable	FBrf0132357	flybase
magu	FBgn0262169	tkv	FBgn0003716	suppressible	FBrf0210884	flybase
sgg	FBgn0003371	peg	FBgn0046763	suppressible	FBrf0190145	flybase
nbs	FBgn0261530	tefu	FBgn0045035	suppressible	FBrf0194327	flybase
Dys	FBgn0260003	gcm	FBgn0014179	enhanceable	FBrf0205440	flybase
fz	FBgn0001085	dgo	FBgn0086898	enhanceable	FBrf0200663	flybase
cathD	FBgn0029093	Hmgcr	FBgn0263782	enhanceable	FBrf0209200	flybase
aPKC	FBgn0261854	Dhc64C	FBgn0261797	suppressible	FBrf0229884	flybase
LIMK1	FBgn0283712	ssh	FBgn0029157	enhanceable	FBrf0226907	flybase
tara	FBgn0040071	Pc	FBgn0003042	enhanceable	FBrf0235922	flybase
sgg	FBgn0003371	wg	FBgn0284084	suppressible	FBrf0243009	flybase
Polr2B	FBgn0262955	su(RpII140<up>Z36</up>)S14	FBgn0025133	suppressible	FBrf0103303	flybase
Act88F	FBgn0000047	up	FBgn0004169	suppressible	FBrf0220869	flybase
brat	FBgn0010300	insb	FBgn0034224	enhanceable	FBrf0240730	flybase
Ccm3	FBgn0038331	GckIII	FBgn0266465	enhanceable	FBrf0221823	flybase
ct	FBgn0004198	Gαi	FBgn0001104	suppressible	FBrf0187644	flybase
dsh	FBgn0000499	Jra	FBgn0001291	suppressible	FBrf0103240	flybase
fru	FBgn0004652	EcR	FBgn0000546	suppressible	FBrf0213400	flybase
pbl	FBgn0003041	chrb	FBgn0036165	suppressible	FBrf0199094	flybase
nuf	FBgn0013718	l(2)gl	FBgn0002121	enhanceable	FBrf0187226	flybase
Raf::tor	FBgn0013724	cnk	FBgn0286070	suppressible	FBrf0112056	flybase
Sod1	FBgn0003462	ND-51L1	FBgn0034251	suppressible	FBrf0256673	flybase
Akt	FBgn0010379	hppy	FBgn0263395	enhanceable	FBrf0212911	flybase
vtd	FBgn0260987	park	FBgn0041100	suppressible	FBrf0234422	flybase
shi	FBgn0003392	awd	FBgn0000150	enhanceable	FBrf0167630	flybase
sev	FBgn0003366	melt	FBgn0023001	suppressible	FBrf0187233	flybase
brat	FBgn0010300	dpn	FBgn0010109	enhanceable	FBrf0224828	flybase
CycA	FBgn0000404	rux	FBgn0003302	enhanceable	FBrf0134519	flybase
Gαq	FBgn0004435	Arr2	FBgn0000121	suppressible	FBrf0131331	flybase
rdgC	FBgn0265959	Arr2	FBgn0000121	suppressible	FBrf0131331	flybase
hppy	FBgn0263395	puc	FBgn0243512	enhanceable	FBrf0212911	flybase
Zip71B	FBgn0036461	ZnT33D	FBgn0051860	suppressible	FBrf0227521	flybase
E2f1	FBgn0011766	Su(E1)-B	FBgn0262768	suppressible	FBrf0209056	flybase
Ras85D	FBgn0003205	wupA	FBgn0283471	enhanceable	FBrf0234419	flybase
chic	FBgn0000308	Abl	FBgn0000017	enhanceable	FBrf0108075	flybase
robo1	FBgn0005631	fra	FBgn0011592	suppressible	FBrf0253623	flybase
osk	FBgn0003015	Su(osk)2-O26	FBgn0020903	suppressible	FBrf0090859	flybase
mtrm	FBgn0010431	polo	FBgn0003124	enhanceable	FBrf0202869	flybase
ed	FBgn0000547	Egfr	FBgn0003731	suppressible	FBrf0167516	flybase
CycE	FBgn0010382	skd	FBgn0003415	suppressible	FBrf0151282	flybase
sev	FBgn0003366	cnk	FBgn0286070	enhanceable	FBrf0130193	flybase
Sos	FBgn0001965	cnk	FBgn0286070	enhanceable	FBrf0130193	flybase
sl	FBgn0003416	aos	FBgn0004569	enhanceable	FBrf0180127	flybase
Hecw	FBgn0261931	Fmr1	FBgn0028734	enhanceable	FBrf0251317	flybase
rl	FBgn0003256	Egfr	FBgn0003731	enhanceable	FBrf0068431	flybase
park	FBgn0041100	clu	FBgn0034087	suppressible	FBrf0253025	flybase
Ras85D	FBgn0003205	stg	FBgn0003525	enhanceable	FBrf0125429	flybase
smo	FBgn0003444	Kdm4A	FBgn0033233	enhanceable	FBrf0236101	flybase
sog	FBgn0003463	dpp	FBgn0000490	suppressible	FBrf0219593	flybase
y	FBgn0004034	su(Hw)	FBgn0003567	suppressible	FBrf0064493	flybase
BEAF-32	FBgn0015602	Tofu	FBgn0289332	suppressible	FBrf0255826	flybase
WASp	FBgn0024273	N	FBgn0004647	suppressible	FBrf0132374	flybase
Dcr-2	FBgn0034246	ex	FBgn0004583	suppressible	FBrf0225278	flybase
Snr1	FBgn0011715	ex	FBgn0004583	suppressible	FBrf0225278	flybase
N	FBgn0004647	RpL38	FBgn0040007	enhanceable	FBrf0109032	flybase
Nab2	FBgn0028471	pk	FBgn0003090	suppressible	FBrf0246929	flybase
pan	FBgn0085432	gro	FBgn0001139	suppressible	FBrf0132357	flybase
Ret	FBgn0011829	Nek2	FBgn0029970	enhanceable	FBrf0222571	flybase
sev	FBgn0003366	l(3)04704b	FBgn0026220	suppressible	FBrf0105879	flybase
sev	FBgn0003366	l(3)04704a	FBgn0026221	suppressible	FBrf0105879	flybase
Ras85D	FBgn0003205	l(3)04704b	FBgn0026220	suppressible	FBrf0105879	flybase
Ras85D	FBgn0003205	l(3)04704a	FBgn0026221	suppressible	FBrf0105879	flybase
ph-d	FBgn0004860	salm	FBgn0261648	enhanceable	FBrf0076124	flybase
Bub3	FBgn0025457	trbl	FBgn0028978	suppressible	FBrf0236539	flybase
Pka-R2	FBgn0022382	CycE	FBgn0010382	suppressible	FBrf0152035	flybase
sd	FBgn0003345	sd::vg	FBgn0067334	suppressible	FBrf0149193	flybase
vg	FBgn0003975	sd::vg	FBgn0067334	suppressible	FBrf0149193	flybase
Pi3K92E	FBgn0015279	mTor	FBgn0021796	enhanceable	FBrf0190712	flybase
DAAM	FBgn0025641	pk	FBgn0003090	enhanceable	FBrf0229019	flybase
net	FBgn0002931	osa	FBgn0261885	enhanceable	FBrf0174517	flybase
nab	FBgn0259986	hid	FBgn0003997	suppressible	FBrf0213516	flybase
sev	FBgn0003366	l(3)06658	FBgn0010896	suppressible	FBrf0105879	flybase
Ras85D	FBgn0003205	l(3)06658	FBgn0010896	suppressible	FBrf0105879	flybase
Pten	FBgn0026379	mTor	FBgn0021796	suppressible	FBrf0131374	flybase
eve	FBgn0000606	ftz	FBgn0001077	suppressible	FBrf0134559	flybase
L	FBgn0288433	EP2012	FBgn0084445	suppressible	FBrf0187660	flybase
Su(H)	FBgn0004837	E(spl)m7-HLH	FBgn0002633	suppressible	FBrf0128529	flybase
fog	FBgn0000719	RhoGEF2	FBgn0023172	suppressible	FBrf0099954	flybase
ash1	FBgn0005386	dom	FBgn0020306	suppressible	FBrf0134570	flybase
pnt	FBgn0003118	foxo	FBgn0038197	enhanceable	FBrf0226277	flybase
Pp2B-14D	FBgn0011826	CE2-1	FBgn0063648	enhanceable	FBrf0149012	flybase
H	FBgn0001169	Men	FBgn0002719	enhanceable	FBrf0190751	flybase
ct	FBgn0004198	CG9270	FBgn0032908	suppressible	FBrf0187644	flybase
foxo	FBgn0038197	bsk	FBgn0000229	suppressible	FBrf0187242	flybase
Nadk1a	FBgn0033853	Sirt1	FBgn0024291	suppressible	FBrf0252285	flybase
Pink1	FBgn0029891	HtrA2	FBgn0038233	suppressible	FBrf0206306	flybase
Tace	FBgn0039734	Sod1	FBgn0003462	suppressible	FBrf0246645	flybase
rpr	FBgn0011706	scny	FBgn0260936	suppressible	FBrf0207701	flybase
l(2)gl	FBgn0002121	Sema5c	FBgn0284221	suppressible	FBrf0173064	flybase
Syx1A	FBgn0013343	Vha100-1	FBgn0028671	suppressible	FBrf0187227	flybase
sesB	FBgn0003360	srl	FBgn0037248	suppressible	FBrf0225169	flybase
Pvr	FBgn0032006	Pi3K92E	FBgn0015279	suppressible	FBrf0179147	flybase
Dfd	FBgn0000439	pb	FBgn0051481	suppressible	FBrf0187678	flybase
N	FBgn0004647	CRMP	FBgn0023023	enhanceable	FBrf0221899	flybase
N	FBgn0004647	lola	FBgn0283521	suppressible	FBrf0220483	flybase
grim	FBgn0015946	Diap1	FBgn0260635	suppressible	FBrf0135877	flybase
btl	FBgn0285896	Ras85D	FBgn0003205	suppressible	FBrf0105337	flybase
Rbf	FBgn0015799	sgg	FBgn0003371	enhanceable	FBrf0227016	flybase
Rel	FBgn0014018	spz	FBgn0003495	enhanceable	FBrf0148976	flybase
gcm	FBgn0014179	dome	FBgn0043903	suppressible	FBrf0208351	flybase
Antp	FBgn0260642	Taf3	FBgn0026262	enhanceable	FBrf0205311	flybase
N	FBgn0004647	Taf3	FBgn0026262	enhanceable	FBrf0205311	flybase
arm	FBgn0000117	brm	FBgn0000212	suppressible	FBrf0139643	flybase
z	FBgn0004050	Psc	FBgn0005624	suppressible	FBrf0054127	flybase
msn	FBgn0010909	tkv	FBgn0003716	suppressible	FBrf0103375	flybase
sds22	FBgn0028992	zip	FBgn0287873	suppressible	FBrf0214488	flybase
fng	FBgn0011591	Sik2	FBgn0025625	enhanceable	FBrf0245956	flybase
dome	FBgn0043903	Egfr	FBgn0003731	suppressible	FBrf0212840	flybase
Dref	FBgn0015664	schlank	FBgn0040918	suppressible	FBrf0207590	flybase
ND-42	FBgn0019957	foxo	FBgn0038197	suppressible	FBrf0229860	flybase
Pvr	FBgn0032006	EP595b	FBgn0043586	enhanceable	FBrf0187664	flybase
kibra	FBgn0262127	yki	FBgn0034970	suppressible	FBrf0211483	flybase
S6kII	FBgn0262866	Pdk1	FBgn0020386	suppressible	FBrf0141724	flybase
dock	FBgn0010583	Hem	FBgn0011771	enhanceable	FBrf0127130	flybase
Atg9	FBgn0034110	chic	FBgn0000308	enhanceable	FBrf0245495	flybase
Atg9	FBgn0034110	ena	FBgn0000578	enhanceable	FBrf0245495	flybase
ATP8B	FBgn0037989	Or67d	FBgn0036080	suppressible	FBrf0225300	flybase
Dp	FBgn0011763	ksh-16	FBgn0028631	enhanceable	FBrf0111491	flybase
E2f1	FBgn0011766	ksh-16	FBgn0028631	enhanceable	FBrf0111491	flybase
Ras85D	FBgn0003205	wgn	FBgn0030941	suppressible	FBrf0209242	flybase
ksr::tor	FBgn0019804	EK2-5	FBgn0043590	enhanceable	FBrf0131405	flybase
pbl	FBgn0003041	BTBD9	FBgn0030228	suppressible	FBrf0199094	flybase
mys	FBgn0004657	2R-F	FBgn0021755	enhanceable	FBrf0093664	flybase
Nf1	FBgn0015269	amx	FBgn0000077	suppressible	FBrf0223429	flybase
NimB4	FBgn0028542	Rab7	FBgn0015795	suppressible	FBrf0250922	flybase
Rala	FBgn0015286	Rgl	FBgn0026376	suppressible	FBrf0155960	flybase
Smn	FBgn0036641	CG16984	FBgn0062517	suppressible	FBrf0247174	flybase
Ras85D	FBgn0003205	msn	FBgn0010909	suppressible	FBrf0248799	flybase
scrib	FBgn0263289	msn	FBgn0010909	suppressible	FBrf0248799	flybase
dpp	FBgn0000490	Su(hh)VII	FBgn0043560	suppressible	FBrf0131307	flybase
Zip71B	FBgn0036461	foi	FBgn0024236	enhanceable	FBrf0227521	flybase
cnc	FBgn0262975	Ras85D	FBgn0003205	suppressible	FBrf0220824	flybase
kon	FBgn0032683	shg	FBgn0003391	suppressible	FBrf0248077	flybase
N	FBgn0004647	lolal	FBgn0022238	enhanceable	FBrf0128367	flybase
pros	FBgn0004595	Nf-YC	FBgn0029905	enhanceable	FBrf0207285	flybase
cry	FBgn0025680	Rh7	FBgn0036260	enhanceable	FBrf0237162	flybase
lok	FBgn0019686	Cam	FBgn0000253	suppressible	FBrf0207160	flybase
mys	FBgn0004657	crol	FBgn0020309	enhanceable	FBrf0127048	flybase
Src42A	FBgn0264959	Sos	FBgn0001965	suppressible	FBrf0107534	flybase
H	FBgn0001169	bsk	FBgn0000229	suppressible	FBrf0190751	flybase
Myo61F	FBgn0010246	Myo31DF	FBgn0086347	suppressible	FBrf0218056	flybase
cac	FBgn0263111	Plc21C	FBgn0004611	enhanceable	FBrf0239815	flybase
Rac1	FBgn0010333	alph	FBgn0086361	enhanceable	FBrf0206846	flybase
CycE	FBgn0010382	stg	FBgn0003525	enhanceable	FBrf0180291	flybase
btd	FBgn0000233	Dll	FBgn0000157	suppressible	FBrf0211142	flybase
Pvr	FBgn0032006	hep	FBgn0010303	enhanceable	FBrf0180198	flybase
hb	FBgn0001180	mxc	FBgn0260789	suppressible	FBrf0103357	flybase
nanos	FBgn0002962	mxc	FBgn0260789	suppressible	FBrf0103357	flybase
bw	FBgn0000241	l(3)neo38	FBgn0265276	suppressible	FBrf0211786	flybase
chic	FBgn0000308	capu	FBgn0000256	enhanceable	FBrf0088486	flybase
robo1	FBgn0005631	sli	FBgn0264089	suppressible	FBrf0135949	flybase
Dhpr	FBgn0035964	Pu	FBgn0003162	enhanceable	FBrf0243587	flybase
cutlet	FBgn0015376	RfC4	FBgn0260985	enhanceable	FBrf0134541	flybase
