Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	stg	FBgn0003525	suppressible	FBrf0206710
Utx	FBgn0260749	Rbf	FBgn0015799	enhanceable	FBrf0210661
LanA	FBgn0002526	sli	FBgn0264089	enhanceable	FBrf0149077
Snr1	FBgn0011715	ECSIT	FBgn0028436	suppressible	FBrf0241270
png	FBgn0000826	Pp1-87B	FBgn0004103	suppressible	FBrf0138402
nej	FBgn0261617	Ubx	FBgn0003944	enhanceable	FBrf0190701
bchs	FBgn0043362	Gga	FBgn0030141	enhanceable	FBrf0219559
st	FBgn0003515	cn	FBgn0000337	suppressible	FBrf0240062
Ras85D|emei	FBgn0003205|FBgn0036133	bsk	FBgn0000229	suppressible	FBrf0246782
Taz	FBgn0026619	iPLA2-VIA	FBgn0036053	suppressible	FBrf0206753
shop	FBgn0030966	Gdh	FBgn0001098	suppressible	FBrf0239943
Utx	FBgn0260749	EcR	FBgn0000546	enhanceable	FBrf0223700
Nsf2	FBgn0266464	Mppe	FBgn0259985	suppressible	FBrf0187645
Egfr|psq	FBgn0003731|FBgn0263102	dpp	FBgn0000490	suppressible	FBrf0225573
sev|Ras85D	FBgn0003366|FBgn0003205	SR3-8	FBgn0016738	suppressible	FBrf0105879
mam	FBgn0002643	Psn	FBgn0284421	enhanceable	FBrf0138541
scrib	FBgn0263289	Rab5	FBgn0014010	suppressible	FBrf0207551
ApepP	FBgn0026150	Apc2	FBgn0026598	enhanceable	FBrf0232899
E2f1	FBgn0011766	Mi-2	FBgn0262519	suppressible	FBrf0220353
orb2	FBgn0264307	brat	FBgn0010300	suppressible	FBrf0237581
fry	FBgn0016081	mew|mys	FBgn0004456|FBgn0004657	suppressible	FBrf0217239
Snr1	FBgn0011715	CG11151	FBgn0030519	suppressible	FBrf0241270
ball	FBgn0027889	baf	FBgn0031977	suppressible	FBrf0228612
nwk	FBgn0263456	WASp	FBgn0024273	enhanceable	FBrf0175021
spi	FBgn0005672	salm	FBgn0261648	suppressible	FBrf0134578
H	FBgn0001169	EP383	FBgn0043388	suppressible	FBrf0128367
Pka-C1	FBgn0000273	Pka-R1	FBgn0259243	suppressible	FBrf0108217
Klp61F	FBgn0004378	sub	FBgn0003545	enhanceable	FBrf0234675
Snr1	FBgn0011715	bi	FBgn0000179	suppressible	FBrf0241270
Dd	FBgn0029067	tkv	FBgn0003716	suppressible	FBrf0214664
Nkap	FBgn0039488	bsk	FBgn0000229	suppressible	FBrf0259433
sax	FBgn0003317	kek5	FBgn0031016	enhanceable	FBrf0207272
Atg9	FBgn0034110	mTor	FBgn0021796	suppressible	FBrf0237308
Tl	FBgn0262473	Fas3	FBgn0000636	suppressible	FBrf0109037
polyph	FBgn0033572	Eaat1	FBgn0026439	suppressible	FBrf0223441
N	FBgn0004647	dind	FBgn0286828	suppressible	FBrf0252589
Atx-1	FBgn0029907	sens	FBgn0002573	suppressible	FBrf0187241
Ubr3	FBgn0260970	ck	FBgn0000317	enhanceable	FBrf0233094
rho	FBgn0004635	rho-5	FBgn0041723	suppressible	FBrf0213387
Hrs	FBgn0031450	dsh	FBgn0000499	suppressible	FBrf0190944
Pten|mTor	FBgn0026379|FBgn0021796	ImpL2	FBgn0001257	enhanceable	FBrf0222076
w	FBgn0003996	CRIF	FBgn0037102	suppressible	FBrf0227392
Egfr	FBgn0003731	ebi	FBgn0263933	enhanceable	FBrf0108171
ct|lncRNA:flam	FBgn0004198|FBgn0267704	aub	FBgn0000146	suppressible	FBrf0233726
αTub67C	FBgn0087040	IKKε	FBgn0086657	suppressible	FBrf0249431
sina	FBgn0003410	lilli	FBgn0041111	suppressible	FBrf0100609
per	FBgn0003068	PRL-1	FBgn0024734	enhanceable	FBrf0247706
hiw	FBgn0030600	p38a	FBgn0015765	suppressible	FBrf0222265
Nsf2	FBgn0266464	Gdi	FBgn0004868	suppressible	FBrf0187645
rl	FBgn0003256	cln	FBgn0015922	enhanceable	FBrf0127348
flw	FBgn0000711	Drak	FBgn0052666	suppressible	FBrf0211530
dsh	FBgn0000499	ed	FBgn0000547	enhanceable	FBrf0208836
wg|nito	FBgn0284084|FBgn0027548	spen	FBgn0016977	suppressible	FBrf0215879
lwr	FBgn0010602	cact	FBgn0000250	suppressible	FBrf0190102
Atg4a	FBgn0031298	Atg8a	FBgn0052672	suppressible	FBrf0219364
wek	FBgn0001990	pll	FBgn0010441	enhanceable	FBrf0193565
Rheb	FBgn0041191	Cdk4	FBgn0016131	suppressible	FBrf0190026
Tom40	FBgn0016041	Atg16	FBgn0039705	suppressible	FBrf0239838
Kr	FBgn0001325	l(3)neo47	FBgn0011480	suppressible	FBrf0104417
sev|Ras85D	FBgn0003366|FBgn0003205	kto	FBgn0001324	suppressible	FBrf0105879
sli|robo1	FBgn0264089|FBgn0005631	β-Spec	FBgn0250788	enhanceable	FBrf0191925
Ask1	FBgn0014006	Hr38	FBgn0014859	suppressible	FBrf0215011
fz	FBgn0001085	dsh	FBgn0000499	enhanceable	FBrf0191945
hop	FBgn0004864	Stat92E	FBgn0016917	suppressible	FBrf0188561
CapaR	FBgn0037100	Akh	FBgn0004552	suppressible	FBrf0250926
dila	FBgn0033447	unc	FBgn0003950	enhanceable	FBrf0214370
Sirt1	FBgn0024291	foxo	FBgn0038197	suppressible	FBrf0205110
grim	FBgn0015946	scny	FBgn0260936	suppressible	FBrf0207701
robo1	FBgn0005631	sli	FBgn0264089	enhanceable	FBrf0149077
grk	FBgn0001137	Pvr	FBgn0032006	suppressible	FBrf0212926
ct	FBgn0004198	su(Hw)	FBgn0003567	suppressible	FBrf0213027
Cdk2	FBgn0004107	rl	FBgn0003256	enhanceable	FBrf0234960
lqfR	FBgn0261279	InR	FBgn0283499	enhanceable	FBrf0208139
Egfr	FBgn0003731	Vno	FBgn0003988	enhanceable	FBrf0052884
park	FBgn0041100	Pink1	FBgn0029891	enhanceable	FBrf0228603
Raf	FBgn0003079	eya	FBgn0000320	enhanceable	FBrf0125429
peb	FBgn0003053	dve	FBgn0020307	suppressible	FBrf0180294
Snr1	FBgn0011715	Socs44A	FBgn0033266	suppressible	FBrf0241270
PGRP-LF	FBgn0035977	PGRP-LC	FBgn0035976	suppressible	FBrf0204914
InR	FBgn0283499	Tsc1	FBgn0026317	suppressible	FBrf0136941
Mmp2	FBgn0033438	Mmp1	FBgn0035049	enhanceable	FBrf0155689
Rho1	FBgn0014020	Pax	FBgn0041789	suppressible	FBrf0184160
btl::Egfr	FBgn0022739	dock	FBgn0010583	suppressible	FBrf0139680
rux	FBgn0003302	CycA	FBgn0000404	suppressible	FBrf0091048
l(3)S033513	FBgn0082188	Kap-α3	FBgn0027338	suppressible	FBrf0128570
eas	FBgn0000536	pAbp	FBgn0265297	suppressible	FBrf0183998
TBPH	FBgn0025790	cac	FBgn0263111	suppressible	FBrf0226296
edl	FBgn0023214	pnt	FBgn0003118	enhanceable	FBrf0161068
Kr	FBgn0001325	Vha55	FBgn0005671	suppressible	FBrf0129693
CycB3	FBgn0015625	pbl	FBgn0003041	enhanceable	FBrf0158812
CycE	FBgn0010382	dap	FBgn0010316	suppressible	FBrf0187449
Marcal1	FBgn0031655	Asx	FBgn0261823	enhanceable	FBrf0234417
Bar	FBgn0000154	oro	FBgn0020263	enhanceable	FBrf0086019
Dsor1	FBgn0010269	Su(SuRaf1)IV	FBgn0026351	suppressible	FBrf0107534
anchor	FBgn0036741	put	FBgn0003169	suppressible	FBrf0238983
mir-bft	FBgn0263107	ppk28	FBgn0030795	suppressible	FBrf0234481
para	FBgn0285944	chn	FBgn0015371	enhanceable	FBrf0222320
hiw	FBgn0030600	Atg2	FBgn0044452	enhanceable	FBrf0208921
w|z	FBgn0003996|FBgn0004050	Taf9	FBgn0000617	enhanceable	FBrf0108279
Axn	FBgn0026597	α-Cat|SREBP	FBgn0010215|FBgn0261283	suppressible	FBrf0236618
Axn	FBgn0026597	Hipk	FBgn0035142	enhanceable	FBrf0206511
dpp	FBgn0000490	cv-2	FBgn0000395	suppressible	FBrf0204848
rho	FBgn0004635	shrb	FBgn0086656	suppressible	FBrf0215049
Lrrk	FBgn0038816	eIF4E1	FBgn0015218	suppressible	FBrf0232921
grau	FBgn0001133	mtrm	FBgn0010431	suppressible	FBrf0222600
sl	FBgn0003416	Egfr	FBgn0003731	suppressible	FBrf0216849
trh|jing	FBgn0262139|FBgn0086655	tgo	FBgn0264075	enhanceable	FBrf0148962
pnr	FBgn0003117	CG6701	FBgn0033889	enhanceable	FBrf0147055
ash1|trx	FBgn0005386|FBgn0003862	E(z)	FBgn0000629	enhanceable	FBrf0129826
Sema1a	FBgn0011259	Gyc76C	FBgn0266136	suppressible	FBrf0223742
Delta	FBgn0000463	Egfr	FBgn0003731	suppressible	FBrf0052884
Ras85D	FBgn0003205	pnt	FBgn0003118	suppressible	FBrf0249116
Ras85D|PpV	FBgn0003205|FBgn0003139	Tak1	FBgn0026323	suppressible	FBrf0235868
ea	FBgn0000533	pip	FBgn0003089	enhanceable	FBrf0211253
w	FBgn0003996	Ufo	FBgn0020612	enhanceable	FBrf0104493
ap|Bx	FBgn0267978|FBgn0265598	EP3-1809	FBgn0260811	suppressible	FBrf0202749
Su(var)3-3	FBgn0260397	APC7	FBgn0029879	suppressible	FBrf0224400
Dys	FBgn0260003	Rack1	FBgn0020618	enhanceable	FBrf0214383
Ras85D|scrib	FBgn0003205|FBgn0263289	Ets21C|kay	FBgn0005660|FBgn0001297	suppressible	FBrf0234568
Ras85D|scrib	FBgn0003205|FBgn0263289	bsk	FBgn0000229	suppressible	FBrf0194200
lola	FBgn0283521	for	FBgn0000721	suppressible	FBrf0232113
E(z)	FBgn0000629	ph-p	FBgn0004861	suppressible	FBrf0141551
Smox	FBgn0025800	daw	FBgn0031461	suppressible	FBrf0205031
ci	FBgn0004859	nej	FBgn0261617	suppressible	FBrf0093058
bsk	FBgn0000229	Ldh	FBgn0001258	suppressible	FBrf0237138
ab	FBgn0264442	ct	FBgn0004198	suppressible	FBrf0180576
Dref	FBgn0015664	Rab6	FBgn0015797	suppressible	FBrf0207590
Ipk2	FBgn0031267	hop	FBgn0004864	suppressible	FBrf0230532
skd	FBgn0003415	kto	FBgn0001324	enhanceable	FBrf0160638
pnut	FBgn0013726	rdgB	FBgn0003218	suppressible	FBrf0252936
Cdc42	FBgn0010341	Dlat	FBgn0283658	enhanceable	FBrf0179402
eas	FBgn0000536	mle|para	FBgn0002774|FBgn0285944	suppressible	FBrf0202966
PolG1	FBgn0004406	Drp1	FBgn0026479	suppressible	FBrf0218424
N	FBgn0004647	sno	FBgn0265630	enhanceable	FBrf0068459
cmb	FBgn0036365	frtz	FBgn0086698	enhanceable	FBrf0226208
ZnT63C|Zip42C.1	FBgn0035432|FBgn0033096	ZnT41F	FBgn0025693	enhanceable	FBrf0220942
Pten	FBgn0026379	chico	FBgn0024248	enhanceable	FBrf0111917
dnc	FBgn0000479	cff	FBgn0000288	enhanceable	unattributed
pnr	FBgn0003117	EP1565	FBgn0286011	suppressible	FBrf0147055
Cyp18a1	FBgn0010383	ftz-f1	FBgn0001078	suppressible	FBrf0212489
ft	FBgn0001075	par-1	FBgn0260934	suppressible	FBrf0222342
Sbf	FBgn0025802	Pi3K68D	FBgn0015278	suppressible	FBrf0218866
H	FBgn0001169	Amun	FBgn0030328	enhanceable	FBrf0128367
E2f1	FBgn0011766	Su(E1)-J	FBgn0262776	suppressible	FBrf0209056
H	FBgn0001169	CycB	FBgn0000405	enhanceable	FBrf0190751
mir-210	FBgn0262433	FASN1	FBgn0283427	suppressible	FBrf0241271
z|w	FBgn0004050|FBgn0003996	mw	FBgn0002910	enhanceable	FBrf0049829
scrib|Ire1	FBgn0263289|FBgn0261984	bsk|Atg13	FBgn0000229|FBgn0261108	suppressible	FBrf0258210
H	FBgn0001169	ey	FBgn0005558	enhanceable	FBrf0206915
vas	FBgn0283442	barr	FBgn0014127	suppressible	FBrf0212718
Tm1|osk	FBgn0003721|FBgn0003015	E(To)8	FBgn0046118	enhanceable	FBrf0137253
crb	FBgn0259685	ex	FBgn0004583	suppressible	FBrf0235878
sc	FBgn0004170	sr	FBgn0003499	suppressible	FBrf0179495
Ote	FBgn0266420	bocks	FBgn0037719	suppressible	FBrf0226734
Lim1	FBgn0026411	Chi	FBgn0013764	suppressible	FBrf0209594
L	FBgn0288433	EP1410	FBgn0084135	enhanceable	FBrf0187660
Psn	FBgn0284421	Su(H)	FBgn0004837	suppressible	FBrf0190133
Pink1	FBgn0029891	zda|Uch	FBgn0034368|FBgn0010288	suppressible	FBrf0249425
jus	FBgn0039647	E(sda)H	FBgn0066126	enhanceable	FBrf0155803
yki|pnut	FBgn0034970|FBgn0013726	bsk	FBgn0000229	enhanceable	FBrf0238801
Smox	FBgn0025800	CG13083	FBgn0032789	suppressible	FBrf0235445
sev	FBgn0003366	drk	FBgn0004638	enhanceable	FBrf0212242
Polr2B	FBgn0262955	su(RpII140<up>Z36</up>)S5	FBgn0025123	suppressible	FBrf0103303
Ras85D	FBgn0003205	car	FBgn0000257	enhanceable	FBrf0211186
Nprl3	FBgn0036397	mTor	FBgn0021796	suppressible	FBrf0234182
frac	FBgn0035798	Sema1a	FBgn0011259	suppressible	FBrf0213409
rl	FBgn0003256	eg	FBgn0000560	enhanceable	FBrf0149096
Sse	FBgn0035627	Su(var)205	FBgn0003607	suppressible	FBrf0230695
Pten	FBgn0026379	Acn	FBgn0263198	suppressible	FBrf0211007
Tom40	FBgn0016041	Tom7	FBgn0033357	suppressible	FBrf0255333
bsk	FBgn0000229	Ilp2	FBgn0036046	suppressible	FBrf0208375
hid	FBgn0003997	puc	FBgn0243512	suppressible	FBrf0180124
N	FBgn0004647	Dsor1	FBgn0010269	suppressible	FBrf0107900
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	arm|wg	FBgn0000117|FBgn0284084	suppressible	FBrf0244419
Pi3K92E	FBgn0015279	Prp8	FBgn0033688	enhanceable	FBrf0190712
rpr	FBgn0011706	Drice	FBgn0019972	suppressible	FBrf0193497
ATP7	FBgn0030343	Ctr1A	FBgn0062413	suppressible	FBrf0210589
scrib|bsk	FBgn0263289|FBgn0000229	msn	FBgn0010909	suppressible	FBrf0248799
TrpA1	FBgn0035934	VGlut	FBgn0031424	suppressible	FBrf0218409
Mhc	FBgn0264695	stck	FBgn0020249	suppressible	FBrf0221198
drl	FBgn0015380	Wnt5	FBgn0010194	enhanceable	FBrf0207647
Src42A	FBgn0264959	Src64B	FBgn0262733	enhanceable	FBrf0203115
Ras85D	FBgn0003205	uri	FBgn0035025	suppressible	FBrf0216513
aurB	FBgn0024227	polo	FBgn0003124	suppressible	FBrf0253227
Bub3	FBgn0025457	puc	FBgn0243512	suppressible	FBrf0248800
Mnat9	FBgn0039859	Mmp1	FBgn0035049	suppressible	FBrf0247841
pnr	FBgn0003117	RhoGEF64C	FBgn0035574	enhanceable	FBrf0147055
Delta	FBgn0000463	ed	FBgn0000547	enhanceable	FBrf0167516
tkv	FBgn0003716	brk	FBgn0024250	suppressible	FBrf0135728
Fak	FBgn0020440	Src64B|Src42A	FBgn0262733|FBgn0264959	enhanceable	FBrf0206161
pnr	FBgn0003117	EP787	FBgn0043380	suppressible	FBrf0147055
pnr	FBgn0003117	TMEM216	FBgn0037614	enhanceable	FBrf0147055
trx|brm	FBgn0003862|FBgn0000212	sxc	FBgn0261403	suppressible	FBrf0129826
mam	FBgn0002643	dx	FBgn0000524	enhanceable	FBrf0111904
Med	FBgn0288966	dpp	FBgn0000490	suppressible	FBrf0085251
shot	FBgn0013733	Patronin	FBgn0263197	suppressible	FBrf0242585
Syx1A	FBgn0013343	EP718	FBgn0083232	suppressible	FBrf0188513
ro	FBgn0003267	amos	FBgn0003270	suppressible	FBrf0064498
Src42A	FBgn0264959	Su(SuRaf1)10	FBgn0026357	suppressible	FBrf0107534
ap	FBgn0267978	Lim3	FBgn0002023	suppressible	FBrf0104899
Rab21	FBgn0039966	mtm	FBgn0025742	suppressible	FBrf0218866
Rab11	FBgn0015790	msn	FBgn0010909	suppressible	FBrf0208143
csw	FBgn0000382	ksr	FBgn0015402	enhanceable	FBrf0129810
Ser	FBgn0004197	rho	FBgn0004635	suppressible	FBrf0190179
Sin3A|Csk	FBgn0022764|FBgn0262081	bsk	FBgn0000229	suppressible	FBrf0221983
GlcAT-P	FBgn0036144	repo	FBgn0011701	enhanceable	FBrf0216828
N	FBgn0004647	Nrt	FBgn0004108	suppressible	FBrf0159717
smo	FBgn0003444	eIF1A	FBgn0026250	enhanceable	FBrf0188528
wg	FBgn0284084	Scm	FBgn0003334	enhanceable	FBrf0191246
robo2	FBgn0002543	sli	FBgn0264089	suppressible	FBrf0180051
N	FBgn0004647	E(spl)m7-HLH	FBgn0002633	enhanceable	FBrf0111441
bsk	FBgn0000229	Jra	FBgn0001291	suppressible	FBrf0095018
puf	FBgn0039214	Diap1	FBgn0260635	suppressible	FBrf0223386
stj	FBgn0261041	cac	FBgn0263111	suppressible	FBrf0204125
stai	FBgn0266521	Khc	FBgn0001308	enhanceable	FBrf0222106
neur	FBgn0002932	Neurl4	FBgn0283503	enhanceable	FBrf0232482
Iswi	FBgn0011604	ttk	FBgn0003870	suppressible	FBrf0213976
Atg1	FBgn0260945	Atg3	FBgn0036813	suppressible	FBrf0208086
RhoGAP19D	FBgn0031118	Pak	FBgn0267698	enhanceable	FBrf0248225
E2f1	FBgn0011766	Su(E1)-E	FBgn0262771	suppressible	FBrf0209056
lark	FBgn0011640	dco	FBgn0002413	suppressible	FBrf0226207
Bx	FBgn0265598	Ser	FBgn0004197	enhanceable	FBrf0128576
aurA	FBgn0000147	polo	FBgn0003124	enhanceable	FBrf0253227
numb	FBgn0002973	insb	FBgn0034224	enhanceable	FBrf0240730
Dref	FBgn0015664	MESK2	FBgn0043070	suppressible	FBrf0207590
Nsf2	FBgn0266464	Trm1	FBgn0032430	suppressible	FBrf0187645
Pp1-87B	FBgn0004103	Pp1α-96A	FBgn0003134	suppressible	FBrf0202083
tkv	FBgn0003716	vg	FBgn0003975	suppressible	FBrf0144813
mxc	FBgn0260789	Duox	FBgn0283531	enhanceable	FBrf0254960
Fbxl7	FBgn0038385	cindr	FBgn0027598	suppressible	FBrf0226098
mir-ban	FBgn0262451	Tie	FBgn0014073	enhanceable	FBrf0224537
arm	FBgn0000117	Apc2	FBgn0026598	suppressible	FBrf0202572
shi	FBgn0003392	Vang	FBgn0015838	enhanceable	FBrf0190197
net	FBgn0002931	nmo	FBgn0011817	enhanceable	FBrf0134745
caup	FBgn0015919	Diap1	FBgn0260635	suppressible	FBrf0229449
spn-D	FBgn0003482	spn-A	FBgn0003479	enhanceable	FBrf0128498
synr	FBgn0031650	Dark	FBgn0263864	suppressible	FBrf0258665
yki	FBgn0034970	rhea	FBgn0260442	suppressible	FBrf0246490
nudE	FBgn0036059	Zwilch	FBgn0061476	suppressible	FBrf0207980
aop	FBgn0000097	Taf4	FBgn0010280	suppressible	FBrf0125429
Ubx	FBgn0003944	Asx	FBgn0261823	suppressible	FBrf0209467
htl	FBgn0010389	rasp	FBgn0024194	suppressible	FBrf0248914
dl	FBgn0260632	Dlip3	FBgn0040465	enhanceable	FBrf0205502
if	FBgn0001250	EcR	FBgn0000546	enhanceable	FBrf0127048
pnr|HDAC1	FBgn0003117|FBgn0015805	CtBP	FBgn0020496	enhanceable	FBrf0207210
pnr	FBgn0003117	Pits	FBgn0030400	enhanceable	FBrf0147055
wg	FBgn0284084	N	FBgn0004647	suppressible	FBrf0090480
N	FBgn0004647	H	FBgn0001169	suppressible	FBrf0151327
ey	FBgn0005558	toy	FBgn0019650	suppressible	FBrf0144839
PGRP-LF	FBgn0035977	Rel	FBgn0014018	suppressible	FBrf0204914
Hmgcr	FBgn0263782	Mdr49	FBgn0004512	suppressible	FBrf0206762
foi	FBgn0024236	Zip42C.1	FBgn0033096	suppressible	FBrf0232505
mod(mdg4)	FBgn0002781	Su(mg)1-9	FBgn0023159	suppressible	FBrf0099893
Sox21a	FBgn0036411	puc	FBgn0243512	enhanceable	FBrf0230512
Sirt1	FBgn0024291	Delta	FBgn0000463	enhanceable	FBrf0233931
kuz	FBgn0259984	robo1	FBgn0005631	enhanceable	FBrf0211121
hid	FBgn0003997	hpo	FBgn0261456	suppressible	FBrf0167603
aux	FBgn0037218	lqf	FBgn0028582	suppressible	FBrf0213386
kay	FBgn0001297	Sema2a	FBgn0011260	enhanceable	FBrf0207092
Bsg	FBgn0261822	mys	FBgn0004657	enhanceable	FBrf0187827
E(z)	FBgn0000629	kto	FBgn0001324	enhanceable	FBrf0141551
BubR1	FBgn0263855	Rel	FBgn0014018	suppressible	FBrf0258932
awd	FBgn0000150	btl	FBgn0285896	enhanceable	FBrf0167607
scrib|Ire1	FBgn0263289|FBgn0261984	Atg6|bsk	FBgn0264325|FBgn0000229	suppressible	FBrf0258210
ct	FBgn0004198	lwr	FBgn0010602	enhanceable	FBrf0187644
sev	FBgn0003366	Sos	FBgn0001965	suppressible	FBrf0073598
eve	FBgn0000606	unc-5	FBgn0034013	suppressible	FBrf0187314
Diap1	FBgn0260635	lncRNA:Hsrω	FBgn0001234	enhanceable	FBrf0209343
Snr1	FBgn0011715	ab	FBgn0264442	enhanceable	FBrf0174517
Tm1	FBgn0003721	osk	FBgn0003015	enhanceable	FBrf0137253
Strip	FBgn0035437	ena	FBgn0000578	suppressible	FBrf0233328
upd1	FBgn0004956	Ras85D	FBgn0003205	suppressible	FBrf0212694
Appl	FBgn0000108	hbs	FBgn0287864	enhanceable	FBrf0218978
gro	FBgn0001139	klu	FBgn0013469	suppressible	FBrf0207063
Atg1	FBgn0260945	Atg9	FBgn0034110	suppressible	FBrf0238799
Raf::tor	FBgn0013724	14-3-3ε	FBgn0020238	suppressible	FBrf0086382
Ubqn	FBgn0031057	VhaSFD	FBgn0027779	enhanceable	FBrf0241650
H	FBgn0001169	amn	FBgn0086782	suppressible	FBrf0190751
mys	FBgn0004657	hid	FBgn0003997	suppressible	FBrf0258101
car	FBgn0000257	w	FBgn0003996	enhanceable	FBrf0147069
Snr1	FBgn0011715	CG7987	FBgn0038244	suppressible	FBrf0241270
ush	FBgn0003963	tup	FBgn0003896	enhanceable	FBrf0090577
N	FBgn0004647	Myc|Marf	FBgn0262656|FBgn0029870	suppressible	FBrf0223692
lz	FBgn0002576	srp	FBgn0003507	enhanceable	FBrf0167995
shi	FBgn0003392	Ppt1	FBgn0030057	enhanceable	FBrf0225105
pb	FBgn0051481	eyg	FBgn0000625	enhanceable	FBrf0155717
raw	FBgn0003209	Jra	FBgn0001291	suppressible	FBrf0218557
stet	FBgn0020248	dally	FBgn0263930	suppressible	FBrf0211426
spn-D	FBgn0003482	spn-A	FBgn0003479	enhanceable	FBrf0100046
strat	FBgn0032020	Rab8	FBgn0262518	suppressible	FBrf0239358
pico	FBgn0261811	bs	FBgn0004101	suppressible	FBrf0206242
Rab32	FBgn0002567	Cisd	FBgn0062442	suppressible	FBrf0245745
brk	FBgn0024250	tkv	FBgn0003716	suppressible	FBrf0135728
smo	FBgn0003444	eIF1A	FBgn0026250	enhanceable	FBrf0188527
yki|hid	FBgn0034970|FBgn0003997	Ack	FBgn0028484	suppressible	FBrf0218372
fwd	FBgn0004373	Marf	FBgn0029870	suppressible	FBrf0247076
ERp44	FBgn0030734	Itpr	FBgn0010051	enhanceable	FBrf0249306
Kap-α3	FBgn0027338	sev	FBgn0003366	enhanceable	FBrf0202108
hng1	FBgn0034599	mirr	FBgn0014343	enhanceable	FBrf0224045
trp	FBgn0003861	Pink1|park	FBgn0029891|FBgn0041100	suppressible	FBrf0231847
Pp2B-14D	FBgn0011826	Ras85D	FBgn0003205	suppressible	FBrf0149012
nanos	FBgn0002962	hb	FBgn0001180	suppressible	FBrf0074386
Snr1	FBgn0011715	kibra	FBgn0262127	suppressible	FBrf0225278
mod(mdg4)	FBgn0002781	Su(mg)2-6	FBgn0023153	suppressible	FBrf0099893
mir-124	FBgn0262398	ana	FBgn0011746	suppressible	FBrf0217785
Msp300	FBgn0261836	GluRIIA	FBgn0004620	suppressible	FBrf0225889
bsk	FBgn0000229	Xbp1	FBgn0021872	suppressible	FBrf0226085
ct	FBgn0004198	Atg4b	FBgn0038325	enhanceable	FBrf0145130
tor	FBgn0003733	fog	FBgn0000719	enhanceable	FBrf0235984
N|E(spl)m8-HLH	FBgn0004647|FBgn0000591	sca	FBgn0003326	enhanceable	FBrf0108246
Orc2	FBgn0015270	htt	FBgn0027655	suppressible	FBrf0227101
Duox	FBgn0283531	Irc	FBgn0038465	suppressible	FBrf0190609
Abi	FBgn0020510	WASp	FBgn0024273	suppressible	FBrf0188146
Sxl	FBgn0264270	NHP2	FBgn0029148	suppressible	FBrf0239135
chm	FBgn0028387	hep	FBgn0010303	enhanceable	FBrf0190553
wts	FBgn0011739	G6pd	FBgn0004057	suppressible	FBrf0238353
w	FBgn0003996	Mow	FBgn0017571	suppressible	FBrf0104408
N	FBgn0004647	H	FBgn0001169	suppressible	FBrf0086618
Phb2	FBgn0010551	Rbf	FBgn0015799	suppressible	FBrf0252589
pbl	FBgn0003041	Tlk	FBgn0283657	enhanceable	FBrf0199094
Tak1	FBgn0026323	p53	FBgn0039044	suppressible	FBrf0217104
unc-5|Nrg	FBgn0034013|FBgn0264975	beat-Ia	FBgn0013433	enhanceable	FBrf0224474
bonsai	FBgn0026261	Dp	FBgn0011763	suppressible	FBrf0108515
ex	FBgn0004583	kibra	FBgn0262127	enhanceable	FBrf0210017
Ras85D|dlg1	FBgn0003205|FBgn0001624	stg	FBgn0003525	enhanceable	FBrf0236539
slbo	FBgn0005638	EP2585	FBgn0024755	suppressible	FBrf0101995
Cu-3	FBgn0000389	Bl	FBgn0000193	suppressible	FBrf0063684
Rac1	FBgn0010333	sqh	FBgn0003514	enhanceable	FBrf0155719
y	FBgn0004034	mod(mdg4)	FBgn0002781	enhanceable	FBrf0050555
ptc	FBgn0003892	fu	FBgn0001079	enhanceable	FBrf0144801
gfr	FBgn0084590	Ras85D	FBgn0003205	suppressible	FBrf0211089
SH3PX1	FBgn0040475	pan	FBgn0085432	suppressible	FBrf0242427
Wnt2|wg	FBgn0004360|FBgn0284084	Wnt6	FBgn0031902	suppressible	FBrf0141722
Pten	FBgn0026379	mTor	FBgn0021796	suppressible	FBrf0230276
Pc	FBgn0003042	HDAC1	FBgn0015805	suppressible	FBrf0137353
RhoGAP19D	FBgn0031118	Nrg	FBgn0264975	enhanceable	FBrf0248225
mael	FBgn0016034	Klc	FBgn0010235	enhanceable	FBrf0224723
sina	FBgn0003410	Hsp83	FBgn0001233	enhanceable	FBrf0077257
strb	FBgn0016943	f	FBgn0262111	suppressible	FBrf0147064
okr	FBgn0002989	DNAlig4	FBgn0030506	enhanceable	FBrf0167652
L	FBgn0288433	arm	FBgn0000117	enhanceable	FBrf0192707
Prosβ6	FBgn0002284	mask	FBgn0043884	suppressible	FBrf0237484
Tcs3	FBgn0283681	PEK	FBgn0037327	suppressible	FBrf0256348
Sh	FBgn0003380	mle	FBgn0002774	suppressible	FBrf0191470
ap|Bx	FBgn0267978|FBgn0265598	CG8405	FBgn0034071	suppressible	FBrf0202749
b	FBgn0000153	r	FBgn0003189	suppressible	FBrf0219346
bw	FBgn0000241	blanks	FBgn0035608	enhanceable	FBrf0211786
brat	FBgn0010300	Syp	FBgn0038826	suppressible	FBrf0238522
Cds	FBgn0010350	Pi3K92E	FBgn0015279	suppressible	FBrf0224323
caps	FBgn0023095	Kr	FBgn0001325	enhanceable	FBrf0139747
tefu	FBgn0045035	Rel	FBgn0014018	suppressible	FBrf0221494
