Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
ed	FBgn0000547	Delta	FBgn0000463	enhanceable	FBrf0167515
unc-104	FBgn0267002	AP-2α	FBgn0264855	enhanceable	FBrf0240010
scrib	FBgn0263289	cno	FBgn0259212	enhanceable	FBrf0236136
fra	FBgn0011592	mud	FBgn0002873	enhanceable	FBrf0231294
btl|stumps	FBgn0285896|FBgn0020299	Tao	FBgn0031030	suppressible	FBrf0187664
osk	FBgn0003015	aub	FBgn0000146	suppressible	FBrf0138362
Ubx	FBgn0003944	z	FBgn0004050	enhanceable	FBrf0063642
b	FBgn0000153	su(b)	FBgn0003546	suppressible	FBrf0044054
Atg16	FBgn0039705	sli	FBgn0264089	suppressible	FBrf0237070
Dref	FBgn0015664	Dll	FBgn0000157	enhanceable	FBrf0139759
ZnT86D	FBgn0037875	Catsup	FBgn0002022	enhanceable	FBrf0227521
TBPH	FBgn0025790	Diap1	FBgn0260635	suppressible	FBrf0220703
pbl	FBgn0003041	dia	FBgn0011202	enhanceable	FBrf0199094
Col4a1	FBgn0000299	vkg	FBgn0016075	suppressible	FBrf0217234
Abd-B	FBgn0000015	corto	FBgn0010313	enhanceable	FBrf0205871
N	FBgn0004647	numb	FBgn0002973	suppressible	FBrf0160590
aPKC	FBgn0261854	numb	FBgn0002973	suppressible	FBrf0218950
Pi3K92E	FBgn0015279	ebi	FBgn0263933	enhanceable	FBrf0216882
sesB	FBgn0003360	Atpα	FBgn0002921	suppressible	FBrf0179487
Mhc	FBgn0264695	Vinc	FBgn0004397	suppressible	FBrf0228767
vkg	FBgn0016075	Col4a1	FBgn0000299	suppressible	FBrf0217234
dx	FBgn0000524	klu	FBgn0013469	enhanceable	FBrf0202064
peb	FBgn0003053	CycE	FBgn0010382	suppressible	FBrf0180294
slim	FBgn0261477	Ask1	FBgn0014006	enhanceable	FBrf0220253
Xbp1	FBgn0021872	cnc	FBgn0262975	suppressible	FBrf0226085
TM4SF	FBgn0020372	cher	FBgn0014141	enhanceable	FBrf0252327
hng1	FBgn0034599	tsh	FBgn0003866	suppressible	FBrf0224045
trx|brm	FBgn0003862|FBgn0000212	Kdm5	FBgn0031759	enhanceable	FBrf0129826
Egfr	FBgn0003731	cora	FBgn0010434	suppressible	FBrf0105869
