uniprotID1,uniprotID2,link,source
Q8AXB3,B7ZV58,19765300,psicquic
Q8AXB3,F1Q534,20802085,psicquic
Q8AXB3,Q15JE7,20802085,psicquic
Q8AXB3,Q58EG3,20802085,psicquic
Q8AXB3,Q8UVD6,20802085,psicquic
Q8JG36,Q6NW73,18296487,psicquic
Q8JG36,Q8JG36,18296487,psicquic
Q8JG38,A0A8M3B365,20802085,psicquic
Q8JG38,A0A8M9Q8Q6,20802085,psicquic
Q8JG38,Q5K373,20802085,psicquic
Q8UVD6,A0A4W4,19765300,psicquic
Q8UVD6,A0A8M1Q1X6,19765300,psicquic
Q8UVD6,A4JYL6,18296487,psicquic
Q8UVD6,A4JYN2,20802085,psicquic
Q8UVD6,A4JYQ1,18296487,psicquic
Q8UVD6,A4JYR2,20802085,psicquic
Q8UVD6,B8JKM0,19765300,psicquic
Q8UVD6,F1QHI8,18296487,psicquic
Q8UVD6,F1QUK5,20802085,psicquic
Q8UVD6,Q803T1,20802085,psicquic
Q8UVD6,Q8AXB3,20802085,psicquic
Q8UVD6,Q8JG36,20802085,psicquic
Q8UVD6,Q8UVD6,18296487,psicquic
Q90275,Q90275,24626987,psicquic
Q90413,F1QUK5,18296487,psicquic
Q90413,Q5K373,18296487,psicquic
Q90413,Q7SX76,18296487,psicquic
Q90413,Q8UVD6,18296487,psicquic
Q90YC5,A0A8M9PHF0,26190107,psicquic
Q90YC5,A4JYP8,26190107,psicquic
Q90YC5,O13146,26190107,psicquic
Q90Z31,Q5J1R9,26190107,psicquic
Q98SW4,A0A0R4IVA1,26190107,psicquic
Q98SW4,Q3Y6S4,20802085,psicquic
Q9DE36,A0A8M9PLL4,19765300,psicquic
Q9DE36,A8DZ85,20802085,psicquic
Q9DE36,O73878,20097902,psicquic
Q9DE36,Q15JE7,20802085,psicquic
Q9DE36,Q16531,19109893,psicquic
Q9DE36,Q5ZEW1,20097902,psicquic
Q9DE36,Q8UVD6,19765300,psicquic
Q9DE36,Q98SW4,20802085,psicquic
Q9DE49,B0CLV3,20802085,psicquic
Q9DGG9,Q29RC0,24626987,psicquic
Q9W767,A4JYN2,19765300,psicquic
Q9W767,B8JKM0,19765300,psicquic
Q9W767,O42114,26190107,psicquic
Q9W767,Q502U6,26190107,psicquic
Z4YIA7,O73878,26190107,psicquic
Z4YIA7,Q6YBR5,24626987,psicquic
