ID,Type,Experiment,Participants/0/InteractorRef,Participants/1/InteractorRef
1002,physical association,1003,685,677
1004,physical association,1005,694,694
1006,physical association,1007,290,704
1008,physical association,1009,713,290
1010,physical association,1011,290,724
1012,physical association,1013,733,290
1014,physical association,1015,196,225
1016,physical association,1017,327,754
1018,physical association,1019,254,327
1020,physical association,1021,236,772
1022,physical association,1023,772,336
1024,physical association,1025,772,254
1026,physical association,1027,236,235
1028,physical association,1029,236,327
1030,physical association,1031,263,236
1032,physical association,1033,236,826
828,physical association,829,1,2
830,physical association,831,10,2
832,physical association,833,19,1
834,physical association,835,19,29
836,physical association,837,19,10
838,physical association,839,46,19
840,physical association,841,19,56
842,physical association,843,19,65
844,physical association,845,73,1
846,physical association,847,29,73
848,physical association,849,73,46
850,physical association,851,73,65
852,physical association,853,56,73
854,physical association,855,118,29
856,physical association,857,118,10
858,physical association,859,136,29
860,physical association,861,145,29
862,physical association,863,145,10
864,physical association,865,163,164
866,physical association,867,172,173
868,physical association,869,182,183
870,physical association,871,192,193
872,physical association,873,202,203
874,physical association,875,212,213
876,physical association,877,221,222
878,physical association,879,231,232
880,physical association,881,232,241
882,physical association,883,232,231
884,physical association,885,241,231
886,physical association,887,231,173
888,physical association,889,173,278
890,physical association,891,287,288
892,physical association,893,296,287
894,physical association,895,305,182
896,physical association,897,315,182
898,physical association,899,183,182
900,physical association,901,193,336
902,physical association,903,344,336
904,physical association,905,353,353
906,physical association,907,193,363
908,physical association,909,193,372
910,physical association,911,193,192
912,physical association,913,241,232
914,physical association,915,231,241
916,physical association,917,173,241
918,physical association,919,418,419
920,physical association,921,428,419
922,physical association,923,419,439
924,physical association,925,182,315
926,physical association,927,305,182
928,physical association,929,468,305
930,physical association,931,477,203
932,physical association,933,231,488
934,physical association,935,164,163
936,physical association,937,212,213
938,physical association,939,514,193
940,physical association,941,523,514
942,physical association,943,532,2
944,physical association,945,419,372
946,physical association,947,193,372
948,physical association,949,477,203
950,physical association,951,203,202
952,physical association,953,580,581
954,phosphorylation reaction,955,587,587
956,phosphorylation reaction,957,598,587
958,phosphorylation reaction,959,607,587
960,phosphorylation reaction,961,587,598
962,phosphorylation reaction,963,587,607
964,phosphorylation reaction,965,607,587
966,phosphorylation reaction,967,607,587
968,phosphorylation reaction,969,587,598
970,association,971,587,598
972,association,973,587,607
974,physical association,975,607,587
976,phosphorylation reaction,977,607,587
978,phosphorylation reaction,979,587,598
980,proximity,981,691,692
982,proximity,983,692,696
984,proximity,985,699,692
986,proximity,987,703,704
988,proximity,989,704,708
990,proximity,991,711,708
992,proximity,993,715,711
994,proximity,995,703,711
996,proximity,997,711,704
998,proximity,999,708,703
1000,colocalization,1001,703,711
1002,colocalization,1003,703,704
1004,colocalization,1005,703,708
1006,colocalization,1007,704,703
1008,colocalization,1009,704,703
1010,physical association,1011,704,703
1012,colocalization,1013,767,768
1014,direct interaction,1015,772,773
1016,physical association,1017,779,772
1018,physical association,1019,363,786
1020,physical association,1021,794,795
1022,phosphorylation reaction,1023,587,805
1024,phosphorylation reaction,1025,587,812
1026,phosphorylation reaction,1027,587,805
48,phosphorylation reaction,49,1,
50,phosphorylation reaction,51,7,1
52,phosphorylation reaction,53,7,1
54,phosphorylation reaction,55,23,1
56,direct interaction,57,31,32
58,direct interaction,59,35,32
60,association,61,31,32
62,physical association,63,31,32
