uniprotID1,uniprotID2,source,evidence,link
Q4V9H3,O42140,psicquic,experimental,26190107;26190107;26190107;26190107
Q4V9H3,O95631,psicquic,experimental,26190107;26190107
Q4V9H3,Q32SK9,psicquic,experimental,26190107;20097902
Q502U6,B8JKM0,psicquic,experimental,26190107;26190107
Q502U6,Q9W767,psicquic,experimental,19765300;26190107
Q58EG3,A0A4W4,psicquic,experimental,19765300;26190107
Q58EG3,A4JYL6,psicquic,experimental,19765300;26190107
Q58EG3,B8A507,psicquic,experimental,20802085
Q58EG3,F1QHI8,psicquic,experimental,26190107
Q58EG3,O73874,psicquic,experimental,19765300;26190107
Q58EG3,Q1L921,psicquic,experimental,20802085;20802085;20802085;20802085;19765300;26190107
Q58EG3,Q90413,psicquic,experimental,20802085
Q58EG3,Q90Z00,psicquic,experimental,20802085
Q58EG3,Q90Z31,psicquic,experimental,19765300;26190107
Q58EG3,Q9DE36,psicquic,experimental,19765300;26190107
Q5BL20,A8DZ86,psicquic,experimental,19765300
Q5BL20,A9JR35,psicquic,experimental,19765300;19765300
Q5BL20,F1QHI8,psicquic,experimental,19765300;26190107
Q5BL20,Q9DE49,psicquic,experimental,19765300
Q5EAQ1,Q1JQE7,psicquic,experimental,19765300;26190107
Q5EAQ1,Q1LVM8,psicquic,experimental,26190107;26190107
Q5EAQ1,Q5EAQ1,psicquic,experimental,23286197;26190107;23286197;26190107
Q5J1R8,A0A0B5JW41,psicquic,experimental,26190107;24626987;23286197;26190107
Q5J1R9,A0A0B5JW41,psicquic,experimental,26190107;24626987
Q5J1R9,A4JYL6,psicquic,experimental,18296487;20802085
Q5J1R9,B3DH85,psicquic,experimental,18296487
Q5J1R9,B7ZV58,psicquic,experimental,20802085
Q5J1R9,F1QHI8,psicquic,experimental,18296487;18296487;18296487
Q5J1R9,Q5J1R9,psicquic,experimental,18296487;18296487
Q5J1R9,Q6NW92,psicquic,experimental,18296487;20802085;18296487
Q5J1R9,Q7SX76,psicquic,experimental,18296487;18296487
Q5K373,A0A8M9PLL4,psicquic,experimental,19765300;26190107
Q5K373,A4JYL6,psicquic,experimental,18296487
Q5K373,A4QN31,psicquic,experimental,20802085
Q5K373,B8JKM0,psicquic,experimental,19765300;19765300
Q5K373,F1Q534,psicquic,experimental,20802085
Q5K373,F1QF54,psicquic,experimental,19765300;26190107;19765300;26190107
Q5K373,O42140,psicquic,experimental,26190107;23565095
Q5K373,Q5J1R9,psicquic,experimental,20802085
Q5K373,Q6GMI5,psicquic,experimental,20802085
Q5K373,Q7SX76,psicquic,experimental,18296487;18296487
Q5K373,Q803T1,psicquic,experimental,20802085
Q5K373,Q8JG38,psicquic,experimental,20802085
Q5K373,Q8UVD6,psicquic,experimental,20802085
Q5K373,Q90413,psicquic,experimental,18296487
Q5ZEW1,O73874,psicquic,experimental,26190107;26190107
Q5ZEW1,Q90YC5,psicquic,experimental,26190107;26190107
Q642G9,A0A4W4,psicquic,experimental,20802085
Q642G9,B7ZV58,psicquic,experimental,20802085;20802085;19765300;26190107;19765300;26190107
Q642G9,F1QHI8,psicquic,experimental,20097902;20097902
Q6GMI5,B8JKM0,psicquic,experimental,20802085
Q6IYD1,Q5EAQ1,psicquic,experimental,23286197;26190107;26190107;26190107
Q6NW73,A4JYL8,psicquic,experimental,18296487;20802085;18296487
Q6NW73,Q8JG36,psicquic,experimental,18296487;20802085;18296487;18296487
Q6NW92,A0A8M3B0J4,psicquic,experimental,20802085
Q6NW92,A4JYL6,psicquic,experimental,18296487;20802085;20802085;19765300;26190107;19765300;26190107
Q6NW92,A4JYQ1,psicquic,experimental,18296487
Q6NW92,B7ZV58,psicquic,experimental,19765300;26190107;19765300;26190107
