uniprotID1	uniprotID2	link	source	alt_name1	alt_name2	name1	name2
Q7SXS7	Q6PI20	7955.ENSDARP00000005500/7955.ENSDARP00000089753	string-db	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	Histone H3.3	Actin-histidine N-methyltransferase 	Histone H3.3
Q7SXS7	Q6PI20	7955.ENSDARP00000005500/7955.ENSDARP00000089753	string-db	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	Histone H3.3	Actin-histidine N-methyltransferase 	Histone H3.3
Q7SXS7	Q6PI20	7955.ENSDARP00000005500/7955.ENSDARP00000089753	string-db	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	Histone H3.3	Actin-histidine N-methyltransferase 	Histone H3.3
Q6DGL9	Q6P3J5	7955.ENSDARP00000005837/7955.ENSDARP00000131100	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Elongation factor 2b (EF-2) (EC 3.6.5.-)	Large ribosomal subunit protein eL38 	Elongation factor 2b 
Q6DGL9	Q90Z10	7955.ENSDARP00000005837/7955.ENSDARP00000132139	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL13 (60S ribosomal protein L13)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL13 
Q6DGL9	Q5BJA1	7955.ENSDARP00000005837/7955.ENSDARP00000127775	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein eS17 
Q6DGL9	Q24JV3	7955.ENSDARP00000005837/7955.ENSDARP00000124804	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL31 
Q6DGL9	Q6Q420	7955.ENSDARP00000005837/7955.ENSDARP00000108197	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein uS8 
Q6DGL9	Q6DGL4	7955.ENSDARP00000005837/7955.ENSDARP00000142323	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	60S ribosomal protein L29	Large ribosomal subunit protein eL38 	60S ribosomal protein L29
Q6DGL9	Q6PC01	7955.ENSDARP00000005837/7955.ENSDARP00000141629	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	40S ribosomal protein S30 (FAU ubiquitin-like and ribosomal protein S30 fusion a) (Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (Fox derived) ribosomal protein S30)	Large ribosomal subunit protein eL38 	40S ribosomal protein S30 
Q6DGL9	Q803F6	7955.ENSDARP00000005837/7955.ENSDARP00000123183	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein uS2 
Q6DGL9	F1QG80	7955.ENSDARP00000005837/7955.ENSDARP00000111487	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL22 (60S ribosomal protein L22)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL22 
Q6DGL9	Q7ZV82	7955.ENSDARP00000005837/7955.ENSDARP00000018737	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL27 
Q6DGL9	B7ZD34	7955.ENSDARP00000005837/7955.ENSDARP00000091586	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	40S ribosomal protein S24	Large ribosomal subunit protein eL38 	40S ribosomal protein S24
Q6DGL9	Q642H9	7955.ENSDARP00000005837/7955.ENSDARP00000108089	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein eS4 (40S ribosomal protein S4, X isoform)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein eS4 
Q6DGL9	Q7ZW95	7955.ENSDARP00000005837/7955.ENSDARP00000060362	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Ribosomal protein L4	Large ribosomal subunit protein eL38 	Ribosomal protein L4
Q6DGL9	Q6Q419	7955.ENSDARP00000005837/7955.ENSDARP00000060443	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein uS14 
Q6DGL9	Q7T1K0	7955.ENSDARP00000005837/7955.ENSDARP00000119756	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein uL22 (60S ribosomal protein L17)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein uL22 
Q6DGL9	Q6Q421	7955.ENSDARP00000005837/7955.ENSDARP00000095139	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	40S ribosomal protein S15	Large ribosomal subunit protein eL38 	40S ribosomal protein S15
Q6DGL9	Q6NX89	7955.ENSDARP00000005837/7955.ENSDARP00000099088	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1)	Large ribosomal subunit protein eL38 	Eukaryotic translation initiation factor 5A-1 
Q6DGL9	Q8JGS9	7955.ENSDARP00000005837/7955.ENSDARP00000133054	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein uS13 (40S ribosomal protein S18)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein uS13 
Q6DGL9	Q8JGS9	7955.ENSDARP00000005837/7955.ENSDARP00000133054	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein uS13 (40S ribosomal protein S18)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein uS13 
Q6DGL9	Q8JGR4	7955.ENSDARP00000005837/7955.ENSDARP00000135555	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL24 
Q6DGL9	Q8JGR4	7955.ENSDARP00000005837/7955.ENSDARP00000135555	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL24 
