"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"BSU_22350","BSU_25560","DnaD","HolA","BSU_22350","BSU_25560","DnaD","HolA","BSU_22350","BSU_25560","subtiwiki","224308.BSU22350/224308.BSU25560","physical","txid224308"
"BSU_22350","BSU_00040","DnaD","RecF","BSU_22350","recF","DnaD","RecF","BSU_22350","BSU_00040","subtiwiki","224308.BSU22350/224308.BSU00040","physical","txid224308"
"BSU_22350","BSU_00310","DnaD","HolB","BSU_22350","BSU_00310","DnaD","HolB","BSU_22350","BSU_00310","subtiwiki","224308.BSU22350/224308.BSU00310","physical","txid224308"
"BSU_22350","BSU_25210","DnaD","DnaG","BSU_22350","dnaG","DnaD","DnaG","BSU_22350","BSU_25210","subtiwiki","224308.BSU22350/224308.BSU25210","physical","txid224308"
"BSU_22350","BSU_40440","DnaD","DnaC","BSU_22350","BSU_40440","DnaD","DnaC","BSU_22350","BSU_40440","subtiwiki","224308.BSU40440/224308.BSU22350","physical","txid224308"
"BSU_22350","BSU_23020","DnaD","RecQ","BSU_22350","BSU_23020","DnaD","RecS","BSU_22350","BSU_23020","string-db","224308.BSU23020/224308.BSU22350","physical","txid224308"
"BSU_22350","BSU_28990","DnaD","DnaB","BSU_22350","BSU_28990","DnaD","DnaB","BSU_22350","BSU_28990","subtiwiki","224308.BSU28990/224308.BSU22350","physical","txid224308"
"BSU_22350","BSU_40970","DnaD","ParA","BSU_22350","parA","DnaD","ParA","BSU_22350","BSU_40970","string-db","224308.BSU40970/224308.BSU22350","physical","txid224308"
"BSU_22350","BSU_28980","DnaD","DnaI","BSU_22350","BSU_28980","DnaD","DnaI","BSU_22350","BSU_28980","subtiwiki","224308.BSU28980/224308.BSU22350","physical","txid224308"
"BSU_13060","BSU_26150","YkjA","YqbD","BSU_13060","BSU_26150","YkjA","YqbD","BSU_13060","BSU_26150","string-db","224308.BSU26150/224308.BSU13060","physical","txid224308"
"BSU_13060","BSU_19400","YkjA","SodC","BSU_13060","BSU_19400","YkjA","SodC","BSU_13060","BSU_19400","string-db","224308.BSU19400/224308.BSU13060","physical","txid224308"
"BSU_13060","BSU_25330","YkjA","YqfF","BSU_13060","BSU_25330","YkjA","YqfF","BSU_13060","BSU_25330","string-db","224308.BSU25330/224308.BSU13060","physical","txid224308"
"BSU_13060","BSU_31890","YkjA","YukC","BSU_13060","essB","YkjA","EssB","BSU_13060","BSU_31890","string-db","224308.BSU31890/224308.BSU13060","physical","txid224308"
"BSU_13060","BSU_14400","YkjA","FruA","BSU_13060","fruA","YkjA","FruA","BSU_13060","BSU_14400","string-db","224308.BSU14400/224308.BSU13060","physical","txid224308"
"BSU_13060","BSU_37030","YkjA","RacA","BSU_13060","racA","YkjA","RacA","BSU_13060","BSU_37030","string-db","224308.BSU37030/224308.BSU13060","physical","txid224308"
"BSU_26310","BSU_33020","YqaH","CssS","yqaH","cssS","YqaH","CssS","BSU_26310","BSU_33020","string-db","224308.BSU33020/224308.BSU26310","physical","txid224308"
"BSU_26310","BSU_40440","YqaH","DnaC","yqaH","BSU_40440","YqaH","DnaC","BSU_26310","BSU_40440","string-db","224308.BSU40440/224308.BSU26310","physical","txid224308"
"BSU_00020","BSU_41050","DnaN","RnpA","dnaN","BSU_41050","DnaN","RnpA","BSU_00020","BSU_41050","string-db","224308.BSU41050/224308.BSU00020","physical","txid224308"
"BSU_00020","BSU_17050","DnaN","MutL","dnaN","BSU_17050","DnaN","MutL","BSU_00020","BSU_17050","subtiwiki","224308.BSU00020/224308.BSU17050","physical","txid224308"
"BSU_00020","BSU_25210","DnaN","DnaG","dnaN","dnaG","DnaN","DnaG","BSU_00020","BSU_25210","subtiwiki","224308.BSU00020/224308.BSU25210","physical","txid224308"
"BSU_00020","BSU_40440","DnaN","DnaC","dnaN","BSU_40440","DnaN","DnaC","BSU_00020","BSU_40440","subtiwiki","224308.BSU40440/224308.BSU00020","physical","txid224308"
"BSU_00020","BSU_00310","DnaN","HolB","dnaN","BSU_00310","DnaN","HolB","BSU_00020","BSU_00310","subtiwiki","224308.BSU00020/224308.BSU00310","physical","txid224308"
"BSU_00020","BSU_16580","DnaN","PolC","dnaN","BSU_16580","DnaN","PolC","BSU_00020","BSU_16580","subtiwiki","224308.BSU00020/224308.BSU16580","physical","txid224308"
"BSU_00020","BSU_25560","DnaN","HolA","dnaN","BSU_25560","DnaN","HolA","BSU_00020","BSU_25560","subtiwiki","224308.BSU00020/224308.BSU25560","physical","txid224308"
