"protein1","protein2"
"P0A9A9","P77318"
"P0A9A9","P75779"
"P0A9A9","P77172"
"P0A9A9","P76264"
"P0A9A9","P77499"
"P0A9A9","P0AFW2"
"P0A9A9","P45761"
"P0A9A9","P0A8G3"
"P0A9A9","P77300"
"P0A9A9","P0AB24"
"P0A9A9","P0AAY1"
"P0A9A9","P0AAR5"
"P0A9A9","P76194"
"P0A9A9","P39405"
"P0A9A9","P45760"
"P0A9A9","P77649"
"P0A9A9","P0AAX6"
"P0A9A9","P41442"
"P0A9A9","P76115"
"P0A9A9","P76558"
"P0A9A9","Q46871"
"P0A9A9","Q46857"
"P0A9A9","P64610"
"P0A9A9","P55914"
"P0A9A9","P64638"
"P0A9A9","P64453"
"P0A9A9","Q46851"
"P0A9A9","Q46834"
"P0A9A9","P39389"
"P0A9A9","P77689"
"P0A9A9","P0A9A2"
"P0A9A9","P76010"
"P0A9A9","P0A769"
"P0A9A9","P41441"
"P0A9A9","P76116"
"P0A9A9","A5A627"
"P0A9A9","P45758"
"P0A9A9","P0AEL6"
"P0A9A9","P0A6L7"
"P0A9A9","P18777"
"P0A9A9","P15029"
"P0A9A9","P0ACC3"
"P0A9A9","P31462"
"P0A9A9","P29744"
"P0A9A9","P23877"
"P0A9A9","P07026"
"P0A9A9","P15030"
"P0A9A9","P0AGE9"
"P0A9A9","P0AD53"
"P0A9A9","P23484"
"P0A9A9","P0AFZ1"
"P0A9A9","P34209"
"P0A9A9","P0ACX9"
"P0A9A9","P33650"
"P0A9A9","P16869"
"P0A9A9","P36678"
"P0A9A9","P24077"
"P0A9A9","P23485"
"P0A9A9","P0AFX4"
"P0A9A9","P23890"
"P0A9A9","P07821"
"P0A9A9","P0AC44"
"P0A9A9","P0AE56"
"P0A9A9","P0AEG1"
"P0A9A9","P0A8Y3"
"P0A9A9","P0ABQ2"
"P0A9A9","P23878"
"P0A9A9","P0A927"
"P0A9A9","P0AFG6"
"P0A9A9","P23524"
"P0A9A9","P05824"
"P0A9A9","P62707"
"P0A9A9","P32135"
"P0A9A9","P30745"
"P0A9A9","P77737"
"P0A9A9","P0ADI4"
"P0A9A9","P04036"
"P0A9A9","P0AEF8"
"P0A9A9","P05825"
"P0A9A9","P17315"
