protein_1_locus	protein_1_name	protein_2_locus	protein_2_name	evidence	source
BSU_00860	ClpC	BSU_11520	MecA	experimental	string-db
BSU_00860	ClpC	BSU_29740	CcpA	experimental	string-db
BSU_00860	ClpC	BSU_28220	ClpX	textmined	string-db
BSU_00860	ClpC	BSU_34540	ClpP	experimental	string-db
BSU_00860	ClpC	BSU_00850	McsB	experimental	string-db
BSU_00860	ClpC	BSU_13700	ClpE	textmined	string-db
BSU_00860	ClpC	BSU_16150	ClpQ	textmined	string-db
BSU_00880	DisA	BSU_25130	Nfo	textmined	string-db
BSU_00890	YacL	BSU_39940	YxaL	experimental	string-db
BSU_00920	GltX	BSU_29740	CcpA	experimental	string-db
BSU_00930	CysE	BSU_00730	CysK	textmined	string-db
BSU_00940	CysS	BSU_29740	CcpA	experimental	string-db
BSU_00950	MrnC	BSU_28860	RpmI	experimental	string-db
BSU_00950	MrnC	BSU_01320	RplR	experimental	string-db
BSU_00950	MrnC	BSU_01230	RplP	experimental	string-db
BSU_00950	MrnC	BSU_24900	RpmGA	experimental	string-db
BSU_00950	MrnC	BSU_01240	RpmC	experimental	string-db
BSU_00950	MrnC	BSU_15820	RpmB	experimental	string-db
BSU_00950	MrnC	BSU_01280	RplE	experimental	string-db
BSU_00950	MrnC	BSU_16040	RplS	experimental	string-db
BSU_00950	MrnC	BSU_01400	RpmJ	experimental	string-db
BSU_00950	MrnC	BSU_01340	RpmD	experimental	string-db
BSU_00950	MrnC	BSU_27940	RpmA	experimental	string-db
BSU_00950	MrnC	BSU_01170	RplD	experimental	string-db
BSU_00950	MrnC	BSU_01190	RplB	experimental	string-db
BSU_00950	MrnC	BSU_01040	RplJ	experimental	string-db
BSU_00950	MrnC	BSU_01180	RplW	experimental	string-db
BSU_00950	MrnC	BSU_01440	RplQ	experimental	string-db
BSU_00950	MrnC	BSU_01210	RplV	experimental	string-db
BSU_00950	MrnC	BSU_01160	RplC	experimental	string-db
BSU_00950	MrnC	BSU_28850	RplT	experimental	string-db
BSU_00950	MrnC	BSU_41060	RpmH	experimental	string-db
BSU_00950	MrnC	BSU_15080	RpmF	experimental	string-db
BSU_00950	MrnC	BSU_01350	RplO	experimental	string-db
BSU_00950	MrnC	BSU_01270	RplX	experimental	string-db
BSU_00950	MrnC	BSU_01260	RplNA	experimental	string-db
BSU_00950	MrnC	BSU_01490	RplM	experimental	string-db
BSU_00950	MrnC	BSU_01310	RplF	experimental	string-db
BSU_00950	MrnC	BSU_27960	RplU	experimental	string-db
BSU_00990	RpmGB	BSU_24900	RpmGA	database	string-db
BSU_01000	SecE	BSU_23890	OxaAB	database	string-db
BSU_01000	SecE	BSU_35300	SecA	database	string-db
BSU_01000	SecE	BSU_27700	YrbF	database	string-db
BSU_01000	SecE	BSU_15950	FtsY	database	string-db
BSU_01000	SecE	BSU_15980	Ffh	database	string-db
BSU_01000	SecE	BSU_01360	SecY	database	string-db
BSU_01000	SecE	BSU_41040	OxaAA	database	string-db
BSU_01000	SecE	BSU_33630	SecG	database	string-db
BSU_01000	SecE	BSU_27650	SecDF	database	string-db
BSU_01010	NusG	BSU_37100	MurAB	textmined	string-db
BSU_01010	NusG	BSU_36760	MurAA	textmined	string-db
BSU_01010	NusG	BSU_14670	SuhB	textmined	string-db
BSU_01010	NusG	BSU_24320	NusB	textmined	string-db
BSU_01020	RplK	BSU_01330	RpsE	experimental	string-db
BSU_01020	RplK	BSU_01250	RpsQ	experimental	string-db
BSU_01020	RplK	BSU_01110	RpsG	experimental	string-db
BSU_01020	RplK	BSU_15820	RpmB	experimental	string-db
