regulator_locus	regulator_name	mode	gene_locus	gene_name	link
BSU_09520	sigM	sigma factor	BSU_00840	mcsA	224308.BSU09520/224308.BSU00840
BSU_25200	sigA	sigma factor	BSU_00870	radA	224308.BSU25200/224308.BSU00870
BSU_25200	sigA	sigma factor	BSU_00880	disA	224308.BSU25200/224308.BSU00880
BSU_25200	sigA	sigma factor	BSU_00850	mcsB	224308.BSU25200/224308.BSU00850
BSU_25200	sigA	sigma factor	BSU_00860	clpC	224308.BSU25200/224308.BSU00860
BSU_25200	sigA	sigma factor	BSU_00830	ctsR	224308.BSU25200/224308.BSU00830
BSU_25200	sigA	sigma factor	BSU_00840	mcsA	224308.BSU25200/224308.BSU00840
BSU_04730	sigB	sigma factor	BSU_00870	radA	224308.BSU04730/224308.BSU00870
BSU_04730	sigB	sigma factor	BSU_00880	disA	224308.BSU04730/224308.BSU00880
BSU_04730	sigB	sigma factor	BSU_00850	mcsB	224308.BSU04730/224308.BSU00850
BSU_04730	sigB	sigma factor	BSU_00860	clpC	224308.BSU04730/224308.BSU00860
BSU_04730	sigB	sigma factor	BSU_00830	ctsR	224308.BSU04730/224308.BSU00830
BSU_04730	sigB	sigma factor	BSU_00840	mcsA	224308.BSU04730/224308.BSU00840
BSU_00830	ctsR	repression	BSU_00870	radA	224308.BSU00830/224308.BSU00870
BSU_00830	ctsR	repression	BSU_00880	disA	224308.BSU00830/224308.BSU00880
BSU_00830	ctsR	repression	BSU_00850	mcsB	224308.BSU00830/224308.BSU00850
BSU_00830	ctsR	repression	BSU_00860	clpC	224308.BSU00830/224308.BSU00860
BSU_00830	ctsR	repression	BSU_00830	ctsR	224308.BSU00830/224308.BSU00830
BSU_00830	ctsR	repression	BSU_00840	mcsA	224308.BSU00830/224308.BSU00840
BSU_23450	sigF	sigma factor	BSU_00870	radA	224308.BSU23450/224308.BSU00870
BSU_23450	sigF	sigma factor	BSU_00880	disA	224308.BSU23450/224308.BSU00880
BSU_23450	sigF	sigma factor	BSU_00850	mcsB	224308.BSU23450/224308.BSU00850
BSU_23450	sigF	sigma factor	BSU_00860	clpC	224308.BSU23450/224308.BSU00860
BSU_23450	sigF	sigma factor	BSU_00830	ctsR	224308.BSU23450/224308.BSU00830
BSU_23450	sigF	sigma factor	BSU_00840	mcsA	224308.BSU23450/224308.BSU00840
BSU_09520	sigM	sigma factor	BSU_15260	ylxX	224308.BSU09520/224308.BSU15260
BSU_09520	sigM	sigma factor	BSU_15270	sbp	224308.BSU09520/224308.BSU15270
BSU_09520	sigM	sigma factor	BSU_15250	ylxW	224308.BSU09520/224308.BSU15250
BSU_09520	sigM	sigma factor	BSU_15230	murB	224308.BSU09520/224308.BSU15230
BSU_09520	sigM	sigma factor	BSU_15240	divIB	224308.BSU09520/224308.BSU15240
BSU_09520	sigM	sigma factor	BSU_15220	murG	224308.BSU09520/224308.BSU15220
BSU_25200	sigA	sigma factor	BSU_15260	ylxX	224308.BSU25200/224308.BSU15260
BSU_25200	sigA	sigma factor	BSU_15270	sbp	224308.BSU25200/224308.BSU15270
BSU_25200	sigA	sigma factor	BSU_15250	ylxW	224308.BSU25200/224308.BSU15250
BSU_25200	sigA	sigma factor	BSU_15230	murB	224308.BSU25200/224308.BSU15230
BSU_25200	sigA	sigma factor	BSU_15240	divIB	224308.BSU25200/224308.BSU15240
BSU_25200	sigA	sigma factor	BSU_15220	murG	224308.BSU25200/224308.BSU15220
BSU_15320	sigE	sigma factor	BSU_15260	ylxX	224308.BSU15320/224308.BSU15260
BSU_15320	sigE	sigma factor	BSU_15270	sbp	224308.BSU15320/224308.BSU15270
BSU_15320	sigE	sigma factor	BSU_15250	ylxW	224308.BSU15320/224308.BSU15250
BSU_15320	sigE	sigma factor	BSU_15230	murB	224308.BSU15320/224308.BSU15230
BSU_15320	sigE	sigma factor	BSU_15240	divIB	224308.BSU15320/224308.BSU15240
BSU_15320	sigE	sigma factor	BSU_15220	murG	224308.BSU15320/224308.BSU15220
BSU_36420	spoIIID	repression	BSU_15260	ylxX	224308.BSU36420/224308.BSU15260
BSU_36420	spoIIID	repression	BSU_15270	sbp	224308.BSU36420/224308.BSU15270
BSU_36420	spoIIID	repression	BSU_15250	ylxW	224308.BSU36420/224308.BSU15250
BSU_36420	spoIIID	repression	BSU_15230	murB	224308.BSU36420/224308.BSU15230
BSU_36420	spoIIID	repression	BSU_15240	divIB	224308.BSU36420/224308.BSU15240
BSU_36420	spoIIID	repression	BSU_15220	murG	224308.BSU36420/224308.BSU15220
BSU_25200	sigA	sigma factor	BSU_35239	swrAA/2	224308.BSU25200/224308.BSU35239
BSU_25200	sigA	sigma factor	BSU_35220	minJ	224308.BSU25200/224308.BSU35220
BSU_16470	sigD	sigma factor	BSU_35239	swrAA/2	224308.BSU16470/224308.BSU35239
BSU_16470	sigD	sigma factor	BSU_35220	minJ	224308.BSU16470/224308.BSU35220
BSU_35490	degU	activation	BSU_35239	swrAA/2	224308.BSU35490/224308.BSU35239
BSU_35490	degU	activation	BSU_35220	minJ	224308.BSU35490/224308.BSU35220
