protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name	link
BSU_00490	BSU_29740	experimental	string-db	SpoVG	SpoVG	CcpA	CcpA	224308.BSU00490/224308.BSU29740
BSU_00510	BSU_29740	experimental	string-db	Prs	Prs	CcpA	CcpA	224308.BSU00510/224308.BSU29740
BSU_00510	BSU_24290	experimental	string-db	Prs	Prs	XseB	XseB	224308.BSU00510/224308.BSU24290
BSU_00550	BSU_35160	textmined	string-db	Mfd	Mfd	UvrA	UvrA	224308.BSU00550/224308.BSU35160
BSU_00590	BSU_15640	experimental	string-db	RqcP	HslR	RqcH	YloA	224308.BSU00590/224308.BSU15640
BSU_00590	BSU_27940	experimental	string-db	RqcP	HslR	RpmA	RpmA	224308.BSU00590/224308.BSU27940
BSU_00590	BSU_16040	experimental	string-db	RqcP	HslR	RplS	RplS	224308.BSU00590/224308.BSU16040
BSU_00590	BSU_01280	experimental	string-db	RqcP	HslR	RplE	RplE	224308.BSU00590/224308.BSU01280
BSU_00590	BSU_15820	experimental	string-db	RqcP	HslR	RpmB	RpmB	224308.BSU00590/224308.BSU15820
BSU_00590	BSU_01240	experimental	string-db	RqcP	HslR	RpmC	RpmC	224308.BSU00590/224308.BSU01240
BSU_00590	BSU_28860	experimental	string-db	RqcP	HslR	RpmI	RpmI	224308.BSU00590/224308.BSU28860
BSU_00590	BSU_01230	experimental	string-db	RqcP	HslR	RplP	RplP	224308.BSU00590/224308.BSU01230
BSU_00590	BSU_01350	experimental	string-db	RqcP	HslR	RplO	RplO	224308.BSU00590/224308.BSU01350
BSU_00590	BSU_01160	experimental	string-db	RqcP	HslR	RplC	RplC	224308.BSU00590/224308.BSU01160
BSU_00590	BSU_01490	experimental	string-db	RqcP	HslR	RplM	RplM	224308.BSU00590/224308.BSU01490
BSU_00590	BSU_27960	experimental	string-db	RqcP	HslR	RplU	RplU	224308.BSU00590/224308.BSU27960
BSU_00590	BSU_01310	experimental	string-db	RqcP	HslR	RplF	RplF	224308.BSU00590/224308.BSU01310
BSU_00590	BSU_01260	experimental	string-db	RqcP	HslR	RplN	RplNA	224308.BSU00590/224308.BSU01260
BSU_00590	BSU_01260	experimental	string-db	RqcP	HslR	RplN	RplNA	224308.BSU00590/224308.BSU01260
BSU_00590	BSU_01270	experimental	string-db	RqcP	HslR	RplX	RplX	224308.BSU00590/224308.BSU01270
BSU_00590	BSU_01170	experimental	string-db	RqcP	HslR	RplD	RplD	224308.BSU00590/224308.BSU01170
BSU_00590	BSU_01340	experimental	string-db	RqcP	HslR	RpmD	RpmD	224308.BSU00590/224308.BSU01340
BSU_00590	BSU_01400	experimental	string-db	RqcP	HslR	RpmJ	RpmJ	224308.BSU00590/224308.BSU01400
BSU_00590	BSU_24900	experimental	string-db	RqcP	HslR	RpmGA	RpmGA	224308.BSU00590/224308.BSU24900
BSU_00590	BSU_01320	experimental	string-db	RqcP	HslR	RplR	RplR	224308.BSU00590/224308.BSU01320
BSU_00590	BSU_01040	experimental	string-db	RqcP	HslR	RplJ	RplJ	224308.BSU00590/224308.BSU01040
BSU_00590	BSU_01180	experimental	string-db	RqcP	HslR	RplW	RplW	224308.BSU00590/224308.BSU01180
BSU_00590	BSU_01190	experimental	string-db	RqcP	HslR	RplB	RplB	224308.BSU00590/224308.BSU01190
BSU_00590	BSU_15080	experimental	string-db	RqcP	HslR	RpmF	RpmF	224308.BSU00590/224308.BSU15080
BSU_00590	BSU_41060	experimental	string-db	RqcP	HslR	RpmH	RpmH	224308.BSU00590/224308.BSU41060
BSU_00590	BSU_28850	experimental	string-db	RqcP	HslR	RplT	RplT	224308.BSU00590/224308.BSU28850
BSU_00590	BSU_01210	experimental	string-db	RqcP	HslR	RplV	RplV	224308.BSU00590/224308.BSU01210
BSU_00590	BSU_01440	experimental	string-db	RqcP	HslR	RplQ	RplQ	224308.BSU00590/224308.BSU01440
BSU_00590	BSU_01020	experimental	string-db	RqcP	HslR	RplK	RplK	224308.BSU00590/224308.BSU01020
BSU_00620	BSU_14400	experimental	string-db	DivIC	DivIC	FruA	FruA	224308.BSU00620/224308.BSU14400
BSU_00620	BSU_14850	textmined	string-db	DivIC	DivIC	FtsW	FtsW	224308.BSU00620/224308.BSU14850
BSU_00620	BSU_26150	experimental	string-db	DivIC	DivIC	YqbD	YqbD	224308.BSU00620/224308.BSU26150
BSU_00620	BSU_29610	textmined	string-db	DivIC	DivIC	EzrA	EzrA	224308.BSU00620/224308.BSU29610
BSU_00620	BSU_22320	textmined	string-db	DivIC	DivIC	PonA	PonA	224308.BSU00620/224308.BSU22320
BSU_00620	BSU_12890	experimental	string-db	DivIC	DivIC	YkcC	YkcC	224308.BSU00620/224308.BSU12890
BSU_00620	BSU_12790	experimental	string-db	DivIC	DivIC	XhlA	XhlA	224308.BSU00620/224308.BSU12790
BSU_00620	BSU_10160	experimental	string-db	DivIC	DivIC	YhgE	YhgE	224308.BSU00620/224308.BSU10160
BSU_00620	BSU_15290	textmined	string-db	DivIC	DivIC	FtsZ	FtsZ	224308.BSU00620/224308.BSU15290
BSU_00620	BSU_15240	textmined	string-db	DivIC	DivIC	DivIB	DivIB	224308.BSU00620/224308.BSU15240
